dates,Italy.Google_GroceryMobility.data,Italy.Google_ResidentialMobility.data,Italy.Google_TransitStationsMobility.data,Italy.Google_ParksMobility.data,Italy.Google_WorkplacesMobility.data,Italy.Google_RetailMobility.data
2020-02-15,99.0,99.0,109.0,135.0,100.0,103.0
2020-02-16,102.0,98.0,111.0,126.0,101.0,103.0
2020-02-17,101.0,100.0,103.0,107.0,101.0,100.0
2020-02-18,101.0,100.0,104.0,116.0,101.0,103.0
2020-02-19,99.0,100.0,103.0,111.0,101.0,100.0
2020-02-20,101.0,100.0,105.0,118.0,101.0,102.0
2020-02-21,101.0,99.0,105.0,119.0,100.0,101.0
2020-02-22,103.0,99.0,108.0,130.0,100.0,99.0
2020-02-23,116.0,100.0,106.0,123.0,101.0,95.0
2020-02-24,123.0,104.0,85.0,122.0,86.0,96.0
2020-02-25,105.0,105.0,82.0,120.0,85.0,94.0
2020-02-26,95.0,106.0,77.0,94.0,88.0,87.0
2020-02-27,97.0,106.0,78.0,99.0,88.0,90.0
2020-02-28,98.0,105.0,80.0,111.0,88.0,92.0
2020-02-29,98.0,103.0,84.0,102.0,91.0,90.0
2020-03-01,95.0,104.0,74.0,70.0,95.0,81.0
2020-03-02,93.0,105.0,75.0,74.0,91.0,87.0
2020-03-03,99.0,104.0,79.0,91.0,92.0,93.0
2020-03-04,101.0,104.0,81.0,108.0,92.0,93.0
2020-03-05,100.0,107.0,72.0,88.0,84.0,88.0
2020-03-06,100.0,108.0,71.0,92.0,83.0,85.0
2020-03-07,101.0,106.0,76.0,102.0,85.0,81.0
2020-03-08,103.0,106.0,73.0,101.0,90.0,68.0
2020-03-09,99.0,111.0,58.0,76.0,76.0,70.0
2020-03-10,98.0,116.0,49.0,68.0,69.0,57.0
2020-03-11,86.0,119.0,43.0,68.0,63.0,48.0
2020-03-12,77.0,124.0,33.0,39.0,53.0,30.0
2020-03-13,72.0,128.0,29.0,36.0,47.0,25.0
2020-03-14,57.0,125.0,24.0,22.0,42.0,17.0
2020-03-15,40.0,122.0,20.0,19.0,45.0,10.0
2020-03-16,63.0,127.0,26.0,33.0,42.0,25.0
2020-03-17,59.0,129.0,24.0,32.0,39.0,23.0
2020-03-18,57.0,130.0,23.0,29.0,39.0,21.0
2020-03-19,56.0,131.0,22.0,26.0,37.0,21.0
2020-03-20,60.0,132.0,22.0,23.0,37.0,20.0
2020-03-21,49.0,126.0,20.0,15.0,37.0,14.0
2020-03-22,15.0,124.0,13.0,9.0,37.0,5.0
2020-03-23,55.0,132.0,19.0,19.0,32.0,20.0
2020-03-24,52.0,132.0,19.0,20.0,31.0,19.0
2020-03-25,49.0,134.0,18.0,18.0,30.0,17.0
2020-03-26,48.0,135.0,17.0,16.0,28.0,16.0
2020-03-27,54.0,136.0,18.0,18.0,29.0,17.0
2020-03-28,46.0,127.0,18.0,14.0,35.0,13.0
2020-03-29,15.0,124.0,13.0,10.0,37.0,6.0
2020-03-30,53.0,132.0,19.0,21.0,31.0,19.0
2020-03-31,58.0,133.0,21.0,22.0,30.0,10.0
2020-04-01,59.0,133.0,21.0,23.0,30.0,10.0
2020-04-02,60.0,134.0,21.0,23.0,30.0,10.0
2020-04-03,63.0,135.0,21.0,22.0,31.0,15.0
2020-04-04,52.0,127.0,20.0,16.0,37.0,11.0
2020-04-05,18.0,124.0,14.0,10.0,38.0,5.0
2020-04-06,61.0,131.0,22.0,24.0,34.0,17.0
2020-04-07,62.0,131.0,22.0,25.0,33.0,19.0
2020-04-08,63.0,131.0,22.0,24.0,33.0,18.0
2020-04-09,68.0,132.0,22.0,24.0,33.0,19.0
2020-04-10,73.0,133.0,23.0,24.0,32.0,19.0
2020-04-11,58.0,126.0,22.0,17.0,38.0,14.0
2020-04-12,6.0,125.0,12.0,9.0,34.0,4.0
2020-04-13,7.0,140.0,9.0,14.0,10.0,4.0
2020-04-14,59.0,130.0,23.0,24.0,35.0,19.0
2020-04-15,62.0,130.0,24.0,25.0,36.0,20.0
2020-04-16,63.0,131.0,24.0,25.0,37.0,21.0
2020-04-17,66.0,132.0,24.0,25.0,37.0,21.0
2020-04-18,52.0,125.0,23.0,18.0,42.0,15.0
2020-04-19,18.0,123.0,16.0,12.0,42.0,6.0
2020-04-20,52.0,129.0,21.0,21.0,39.0,21.0
2020-04-21,55.0,129.0,23.0,24.0,39.0,21.0
2020-04-22,55.0,130.0,24.0,25.0,39.0,21.0
2020-04-23,60.0,130.0,25.0,27.0,40.0,22.0
2020-04-24,73.0,129.0,27.0,29.0,40.0,25.0
2020-04-25,14.0,128.0,17.0,17.0,28.0,7.0
2020-04-26,26.0,122.0,19.0,15.0,46.0,8.0
2020-04-27,66.0,126.0,28.0,32.0,43.0,28.0
2020-04-28,61.0,126.0,26.0,29.0,42.0,25.0
2020-04-29,64.0,127.0,28.0,32.0,43.0,25.0
2020-04-30,77.0,126.0,29.0,33.0,43.0,29.0
2020-05-01,10.0,141.0,14.0,26.0,14.0,8.0
2020-05-02,63.0,123.0,30.0,29.0,48.0,22.0
2020-05-03,29.0,121.0,24.0,25.0,54.0,11.0
2020-05-04,75.0,118.0,43.0,70.0,55.0,42.0
2020-05-05,73.0,119.0,42.0,69.0,54.0,40.0
2020-05-06,72.0,120.0,42.0,68.0,54.0,39.0
2020-05-07,73.0,120.0,42.0,72.0,55.0,40.0
2020-05-08,77.0,121.0,42.0,71.0,55.0,40.0
2020-05-09,72.0,115.0,48.0,69.0,61.0,37.0
2020-05-10,39.0,113.0,43.0,57.0,72.0,26.0
2020-05-11,69.0,119.0,39.0,55.0,57.0,42.0
2020-05-12,76.0,119.0,44.0,73.0,58.0,44.0
2020-05-13,73.0,119.0,41.0,61.0,58.0,41.0
2020-05-14,76.0,118.0,44.0,72.0,58.0,44.0
2020-05-15,78.0,120.0,42.0,66.0,58.0,42.0
2020-05-16,74.0,115.0,47.0,63.0,66.0,39.0
2020-05-17,44.0,112.0,48.0,76.0,79.0,32.0
2020-05-18,81.0,114.0,52.0,89.0,64.0,62.0
2020-05-19,82.0,115.0,50.0,78.0,63.0,60.0
2020-05-20,82.0,115.0,52.0,87.0,63.0,60.0
2020-05-21,85.0,115.0,54.0,100.0,63.0,63.0
2020-05-22,87.0,114.0,54.0,104.0,64.0,62.0
2020-05-23,83.0,108.0,65.0,111.0,76.0,62.0
2020-05-24,62.0,105.0,65.0,113.0,91.0,57.0
2020-05-25,83.0,112.0,55.0,104.0,66.0,68.0
2020-05-26,86.0,112.0,56.0,106.0,66.0,68.0
2020-05-27,87.0,112.0,57.0,108.0,67.0,68.0
2020-05-28,88.0,113.0,57.0,105.0,67.0,68.0
2020-05-29,89.0,113.0,55.0,94.0,66.0,65.0
2020-05-30,87.0,107.0,68.0,107.0,80.0,66.0
2020-05-31,69.0,105.0,68.0,115.0,98.0,63.0
2020-06-01,104.0,111.0,63.0,153.0,56.0,85.0
2020-06-02,56.0,116.0,54.0,219.0,28.0,68.0
2020-06-03,93.0,110.0,63.0,106.0,69.0,71.0
2020-06-04,89.0,112.0,56.0,76.0,67.0,67.0
