dates,Japan.Google_GroceryMobility.data,Japan.Google_ResidentialMobility.data,Japan.Google_TransitStationsMobility.data,Japan.Google_ParksMobility.data,Japan.Google_WorkplacesMobility.data,Japan.Google_RetailMobility.data
2020-02-15,104.0,100.0,101.0,107.0,104.0,99.0
2020-02-16,94.0,102.0,90.0,65.0,98.0,91.0
2020-02-17,101.0,101.0,99.0,95.0,100.0,98.0
2020-02-18,102.0,101.0,98.0,101.0,100.0,101.0
2020-02-19,102.0,100.0,97.0,108.0,100.0,100.0
2020-02-20,104.0,100.0,97.0,104.0,100.0,101.0
2020-02-21,102.0,101.0,98.0,107.0,100.0,99.0
2020-02-22,101.0,102.0,97.0,90.0,99.0,95.0
2020-02-23,103.0,100.0,102.0,116.0,100.0,101.0
2020-02-24,104.0,114.0,73.0,154.0,45.0,118.0
2020-02-25,107.0,101.0,98.0,100.0,101.0,100.0
2020-02-26,103.0,101.0,95.0,95.0,101.0,96.0
2020-02-27,106.0,101.0,93.0,96.0,100.0,97.0
2020-02-28,114.0,102.0,90.0,96.0,101.0,98.0
2020-02-29,109.0,104.0,79.0,78.0,103.0,90.0
2020-03-01,109.0,104.0,77.0,99.0,101.0,90.0
2020-03-02,103.0,104.0,85.0,85.0,98.0,90.0
2020-03-03,109.0,104.0,85.0,111.0,98.0,98.0
2020-03-04,98.0,105.0,81.0,79.0,96.0,88.0
2020-03-05,103.0,104.0,82.0,92.0,96.0,91.0
2020-03-06,102.0,105.0,82.0,105.0,96.0,91.0
2020-03-07,102.0,105.0,76.0,92.0,96.0,88.0
2020-03-08,96.0,106.0,69.0,65.0,95.0,83.0
2020-03-09,102.0,104.0,85.0,111.0,97.0,93.0
2020-03-10,97.0,106.0,82.0,72.0,95.0,91.0
2020-03-11,104.0,103.0,84.0,113.0,96.0,97.0
2020-03-12,105.0,103.0,85.0,116.0,96.0,97.0
2020-03-13,103.0,105.0,83.0,110.0,96.0,95.0
2020-03-14,96.0,107.0,73.0,61.0,93.0,86.0
2020-03-15,105.0,103.0,79.0,109.0,97.0,93.0
2020-03-16,100.0,104.0,85.0,93.0,97.0,93.0
2020-03-17,104.0,104.0,85.0,114.0,96.0,99.0
2020-03-18,103.0,103.0,86.0,120.0,96.0,97.0
2020-03-19,106.0,102.0,90.0,117.0,96.0,104.0
2020-03-20,106.0,117.0,66.0,140.0,46.0,107.0
2020-03-21,105.0,103.0,85.0,134.0,93.0,94.0
2020-03-22,101.0,103.0,82.0,118.0,97.0,91.0
2020-03-23,100.0,103.0,87.0,111.0,97.0,96.0
2020-03-24,103.0,104.0,87.0,114.0,96.0,100.0
2020-03-25,108.0,102.0,89.0,131.0,96.0,102.0
2020-03-26,113.0,103.0,87.0,126.0,95.0,100.0
2020-03-27,103.0,106.0,81.0,91.0,93.0,90.0
2020-03-28,101.0,107.0,67.0,77.0,92.0,82.0
2020-03-29,93.0,107.0,59.0,75.0,91.0,74.0
2020-03-30,104.0,105.0,80.0,98.0,92.0,93.0
2020-03-31,107.0,105.0,80.0,109.0,93.0,96.0
2020-04-01,95.0,107.0,75.0,71.0,90.0,80.0
2020-04-02,106.0,106.0,77.0,113.0,90.0,88.0
2020-04-03,106.0,107.0,75.0,126.0,89.0,86.0
2020-04-04,106.0,108.0,65.0,126.0,88.0,79.0
2020-04-05,102.0,108.0,57.0,103.0,87.0,75.0
2020-04-06,107.0,107.0,76.0,115.0,89.0,87.0
2020-04-07,106.0,108.0,73.0,117.0,87.0,88.0
2020-04-08,102.0,109.0,66.0,116.0,84.0,78.0
2020-04-09,102.0,110.0,64.0,108.0,83.0,76.0
2020-04-10,104.0,112.0,62.0,100.0,82.0,74.0
2020-04-11,104.0,112.0,52.0,103.0,78.0,70.0
2020-04-12,91.0,112.0,42.0,65.0,78.0,60.0
2020-04-13,85.0,113.0,55.0,55.0,80.0,62.0
2020-04-14,105.0,112.0,59.0,110.0,80.0,77.0
2020-04-15,107.0,111.0,59.0,117.0,79.0,76.0
2020-04-16,105.0,112.0,57.0,109.0,78.0,73.0
2020-04-17,104.0,114.0,54.0,99.0,77.0,69.0
2020-04-18,86.0,116.0,40.0,53.0,74.0,52.0
2020-04-19,97.0,111.0,47.0,101.0,77.0,60.0
2020-04-20,92.0,114.0,53.0,67.0,77.0,63.0
2020-04-21,101.0,114.0,54.0,108.0,75.0,69.0
2020-04-22,96.0,114.0,52.0,97.0,74.0,64.0
2020-04-23,97.0,115.0,52.0,96.0,74.0,64.0
2020-04-24,99.0,116.0,52.0,92.0,74.0,63.0
2020-04-25,97.0,114.0,47.0,91.0,74.0,59.0
2020-04-26,91.0,112.0,42.0,84.0,73.0,55.0
2020-04-27,95.0,115.0,53.0,91.0,74.0,65.0
2020-04-28,102.0,114.0,54.0,104.0,73.0,72.0
2020-04-29,95.0,122.0,36.0,123.0,36.0,70.0
2020-04-30,104.0,116.0,53.0,108.0,68.0,70.0
2020-05-01,101.0,119.0,50.0,104.0,65.0,65.0
2020-05-02,95.0,115.0,45.0,89.0,70.0,57.0
2020-05-03,91.0,112.0,42.0,81.0,70.0,55.0
2020-05-04,94.0,129.0,33.0,104.0,27.0,72.0
2020-05-05,100.0,129.0,35.0,129.0,27.0,77.0
2020-05-06,88.0,130.0,31.0,83.0,28.0,64.0
2020-05-07,101.0,114.0,56.0,103.0,74.0,69.0
2020-05-08,100.0,116.0,55.0,106.0,73.0,66.0
2020-05-09,95.0,113.0,49.0,80.0,80.0,61.0
2020-05-10,93.0,112.0,44.0,65.0,76.0,62.0
2020-05-11,98.0,112.0,58.0,100.0,78.0,68.0
2020-05-12,100.0,113.0,57.0,106.0,77.0,70.0
2020-05-13,99.0,113.0,56.0,104.0,77.0,69.0
2020-05-14,99.0,112.0,56.0,106.0,77.0,70.0
2020-05-15,100.0,115.0,56.0,96.0,77.0,68.0
2020-05-16,88.0,114.0,45.0,48.0,77.0,60.0
2020-05-17,99.0,109.0,52.0,98.0,80.0,68.0
2020-05-18,93.0,113.0,58.0,80.0,80.0,68.0
2020-05-19,96.0,114.0,57.0,80.0,78.0,71.0
2020-05-20,101.0,112.0,59.0,94.0,79.0,74.0
2020-05-21,99.0,112.0,59.0,92.0,79.0,73.0
2020-05-22,98.0,113.0,59.0,95.0,79.0,71.0
2020-05-23,100.0,111.0,57.0,92.0,80.0,73.0
2020-05-24,99.0,108.0,58.0,108.0,83.0,73.0
2020-05-25,102.0,110.0,65.0,102.0,82.0,78.0
2020-05-26,99.0,111.0,64.0,92.0,82.0,78.0
2020-05-27,102.0,110.0,65.0,105.0,82.0,80.0
2020-05-28,101.0,110.0,66.0,105.0,82.0,80.0
2020-05-29,102.0,111.0,66.0,105.0,83.0,79.0
2020-05-30,103.0,108.0,66.0,101.0,86.0,80.0
2020-05-31,100.0,107.0,61.0,84.0,86.0,78.0
2020-06-01,98.0,108.0,74.0,87.0,89.0,79.0
2020-06-02,102.0,108.0,73.0,105.0,87.0,84.0
2020-06-03,101.0,108.0,72.0,105.0,87.0,81.0
2020-06-04,102.0,108.0,72.0,102.0,87.0,82.0
2020-06-05,101.0,109.0,71.0,101.0,85.0,82.0
2020-06-06,101.0,107.0,69.0,98.0,85.0,83.0
2020-06-07,102.0,105.0,68.0,110.0,87.0,85.0
2020-06-08,99.0,107.0,74.0,101.0,89.0,83.0
2020-06-09,102.0,108.0,74.0,107.0,88.0,87.0
2020-06-10,102.0,107.0,74.0,99.0,87.0,86.0
2020-06-11,94.0,109.0,72.0,74.0,86.0,80.0
2020-06-12,100.0,109.0,73.0,90.0,85.0,84.0
2020-06-13,94.0,109.0,65.0,60.0,81.0,82.0
2020-06-14,98.0,106.0,64.0,70.0,87.0,84.0
2020-06-15,103.0,106.0,77.0,97.0,89.0,88.0
2020-06-16,103.0,107.0,77.0,106.0,89.0,91.0
2020-06-17,102.0,106.0,77.0,110.0,88.0,89.0
2020-06-18,96.0,107.0,75.0,86.0,87.0,84.0
2020-06-19,95.0,109.0,74.0,74.0,85.0,85.0
2020-06-20,106.0,104.0,79.0,110.0,88.0,93.0
2020-06-21,102.0,104.0,76.0,111.0,90.0,91.0
2020-06-22,95.0,107.0,78.0,86.0,89.0,84.0
2020-06-23,103.0,106.0,80.0,106.0,89.0,92.0
2020-06-24,101.0,106.0,79.0,106.0,89.0,89.0
2020-06-25,102.0,106.0,80.0,87.0,88.0,89.0
2020-06-26,101.0,107.0,79.0,93.0,87.0,89.0
2020-06-27,103.0,105.0,80.0,100.0,85.0,92.0
2020-06-28,99.0,105.0,72.0,80.0,88.0,88.0
2020-06-29,100.0,106.0,81.0,101.0,91.0,91.0
2020-06-30,98.0,107.0,79.0,78.0,90.0,89.0
2020-07-01,98.0,106.0,79.0,88.0,91.0,87.0
2020-07-02,103.0,105.0,81.0,102.0,90.0,91.0
2020-07-03,96.0,107.0,79.0,86.0,89.0,86.0
2020-07-04,99.0,107.0,73.0,72.0,87.0,87.0
2020-07-05,102.0,105.0,72.0,93.0,89.0,88.0
2020-07-06,91.0,107.0,78.0,69.0,89.0,80.0
2020-07-07,99.0,107.0,78.0,82.0,88.0,88.0
2020-07-08,99.0,106.0,78.0,88.0,88.0,88.0
2020-07-09,98.0,107.0,79.0,80.0,89.0,86.0
2020-07-10,100.0,107.0,78.0,83.0,88.0,87.0
2020-07-11,101.0,107.0,73.0,78.0,85.0,88.0
2020-07-12,102.0,105.0,73.0,97.0,90.0,89.0
2020-07-13,95.0,106.0,80.0,82.0,90.0,85.0
2020-07-14,98.0,107.0,78.0,83.0,88.0,88.0
2020-07-15,101.0,106.0,80.0,91.0,89.0,90.0
2020-07-16,103.0,106.0,80.0,100.0,89.0,91.0
2020-07-17,97.0,107.0,78.0,85.0,88.0,86.0
2020-07-18,100.0,106.0,74.0,85.0,89.0,87.0
2020-07-19,100.0,105.0,72.0,106.0,90.0,87.0
