dates,KoreaSouth.Google_GroceryMobility.data,KoreaSouth.Google_ResidentialMobility.data,KoreaSouth.Google_TransitStationsMobility.data,KoreaSouth.Google_ParksMobility.data,KoreaSouth.Google_WorkplacesMobility.data,KoreaSouth.Google_RetailMobility.data
2020-02-15,100.0,103.0,94.0,103.0,101.0,96.0
2020-02-16,100.0,104.0,85.0,69.0,97.0,89.0
2020-02-17,94.0,105.0,94.0,83.0,100.0,93.0
2020-02-18,97.0,102.0,97.0,95.0,102.0,99.0
2020-02-19,99.0,102.0,96.0,114.0,101.0,95.0
2020-02-20,97.0,102.0,94.0,107.0,101.0,93.0
2020-02-21,96.0,105.0,90.0,90.0,100.0,85.0
2020-02-22,94.0,109.0,76.0,68.0,96.0,74.0
2020-02-23,82.0,108.0,75.0,88.0,91.0,69.0
2020-02-24,106.0,108.0,85.0,106.0,94.0,79.0
2020-02-25,87.0,110.0,74.0,62.0,90.0,67.0
2020-02-26,93.0,109.0,78.0,105.0,89.0,71.0
2020-02-27,90.0,109.0,76.0,101.0,90.0,70.0
2020-02-28,83.0,113.0,70.0,62.0,88.0,63.0
2020-02-29,90.0,112.0,68.0,87.0,90.0,62.0
2020-03-01,92.0,111.0,64.0,83.0,84.0,59.0
2020-03-02,99.0,109.0,80.0,110.0,92.0,77.0
2020-03-03,93.0,108.0,79.0,102.0,91.0,76.0
2020-03-04,90.0,110.0,75.0,93.0,89.0,70.0
2020-03-05,89.0,109.0,75.0,98.0,91.0,72.0
2020-03-06,92.0,110.0,78.0,101.0,91.0,73.0
2020-03-07,93.0,111.0,71.0,84.0,92.0,68.0
2020-03-08,86.0,109.0,76.0,134.0,86.0,73.0
2020-03-09,101.0,108.0,83.0,116.0,94.0,81.0
2020-03-10,89.0,109.0,75.0,68.0,91.0,73.0
2020-03-11,97.0,108.0,82.0,123.0,92.0,78.0
2020-03-12,95.0,108.0,80.0,119.0,93.0,77.0
2020-03-13,95.0,109.0,80.0,102.0,93.0,76.0
2020-03-14,101.0,109.0,78.0,104.0,95.0,75.0
2020-03-15,101.0,109.0,71.0,97.0,88.0,72.0
2020-03-16,101.0,108.0,84.0,123.0,94.0,83.0
2020-03-17,95.0,106.0,83.0,112.0,94.0,81.0
2020-03-18,99.0,107.0,84.0,147.0,93.0,81.0
2020-03-19,87.0,109.0,75.0,82.0,93.0,72.0
2020-03-20,98.0,108.0,83.0,117.0,94.0,80.0
2020-03-21,104.0,107.0,82.0,131.0,95.0,79.0
2020-03-22,92.0,107.0,83.0,152.0,88.0,80.0
2020-03-23,106.0,107.0,87.0,147.0,95.0,85.0
2020-03-24,100.0,105.0,87.0,140.0,94.0,84.0
2020-03-25,101.0,107.0,86.0,161.0,92.0,82.0
2020-03-26,92.0,108.0,79.0,103.0,93.0,75.0
2020-03-27,96.0,110.0,80.0,104.0,92.0,77.0
2020-03-28,102.0,108.0,80.0,116.0,93.0,77.0
2020-03-29,111.0,106.0,83.0,151.0,88.0,81.0
2020-03-30,104.0,107.0,88.0,160.0,94.0,87.0
2020-03-31,102.0,105.0,90.0,154.0,95.0,89.0
2020-04-01,100.0,107.0,85.0,144.0,92.0,82.0
2020-04-02,98.0,107.0,85.0,144.0,94.0,82.0
2020-04-03,101.0,107.0,87.0,136.0,94.0,82.0
2020-04-04,105.0,107.0,84.0,125.0,92.0,81.0
2020-04-05,114.0,106.0,86.0,146.0,87.0,83.0
2020-04-06,106.0,106.0,91.0,148.0,97.0,88.0
2020-04-07,102.0,105.0,90.0,140.0,96.0,88.0
2020-04-08,100.0,106.0,87.0,147.0,94.0,84.0
2020-04-09,98.0,106.0,86.0,131.0,96.0,82.0
2020-04-10,102.0,107.0,88.0,122.0,95.0,84.0
2020-04-11,110.0,106.0,87.0,117.0,93.0,84.0
2020-04-12,90.0,107.0,80.0,108.0,87.0,80.0
2020-04-13,110.0,106.0,91.0,145.0,97.0,91.0
2020-04-14,109.0,102.0,96.0,151.0,97.0,96.0
2020-04-15,123.0,117.0,84.0,224.0,50.0,97.0
2020-04-16,98.0,106.0,87.0,133.0,96.0,83.0
2020-04-17,93.0,109.0,80.0,81.0,94.0,77.0
2020-04-18,108.0,106.0,90.0,140.0,96.0,87.0
2020-04-19,101.0,107.0,76.0,80.0,88.0,76.0
2020-04-20,105.0,106.0,89.0,119.0,98.0,88.0
2020-04-21,99.0,104.0,89.0,106.0,98.0,87.0
2020-04-22,97.0,106.0,85.0,106.0,96.0,82.0
2020-04-23,98.0,105.0,86.0,110.0,98.0,84.0
2020-04-24,102.0,106.0,90.0,110.0,98.0,86.0
2020-04-25,109.0,105.0,90.0,121.0,96.0,88.0
2020-04-26,101.0,103.0,95.0,156.0,92.0,94.0
2020-04-27,111.0,104.0,94.0,140.0,99.0,94.0
2020-04-28,108.0,101.0,97.0,141.0,99.0,95.0
2020-04-29,117.0,98.0,102.0,162.0,97.0,98.0
2020-04-30,129.0,111.0,94.0,258.0,46.0,106.0
2020-05-01,122.0,113.0,90.0,223.0,54.0,100.0
2020-05-02,110.0,102.0,96.0,160.0,85.0,91.0
2020-05-03,119.0,101.0,98.0,139.0,91.0,95.0
2020-05-04,130.0,105.0,101.0,195.0,82.0,115.0
2020-05-05,123.0,114.0,86.0,214.0,44.0,113.0
2020-05-06,109.0,103.0,96.0,148.0,99.0,90.0
2020-05-07,107.0,102.0,96.0,136.0,99.0,93.0
2020-05-08,108.0,103.0,99.0,119.0,99.0,95.0
2020-05-09,98.0,107.0,80.0,64.0,93.0,82.0
2020-05-10,101.0,103.0,96.0,134.0,95.0,94.0
2020-05-11,114.0,103.0,98.0,144.0,100.0,97.0
2020-05-12,107.0,102.0,97.0,135.0,99.0,96.0
2020-05-13,108.0,103.0,96.0,158.0,98.0,93.0
2020-05-14,107.0,102.0,94.0,142.0,98.0,92.0
2020-05-15,97.0,105.0,85.0,77.0,95.0,83.0
2020-05-16,112.0,104.0,92.0,126.0,96.0,92.0
2020-05-17,125.0,102.0,98.0,156.0,96.0,99.0
2020-05-18,104.0,105.0,91.0,112.0,98.0,91.0
2020-05-19,107.0,103.0,92.0,114.0,98.0,94.0
2020-05-20,112.0,102.0,97.0,159.0,97.0,96.0
2020-05-21,107.0,102.0,95.0,144.0,98.0,95.0
2020-05-22,108.0,103.0,96.0,134.0,98.0,93.0
2020-05-23,114.0,102.0,98.0,155.0,98.0,97.0
2020-05-24,104.0,103.0,95.0,142.0,94.0,97.0
2020-05-25,118.0,103.0,99.0,157.0,99.0,101.0
2020-05-26,108.0,101.0,97.0,132.0,99.0,97.0
2020-05-27,111.0,101.0,98.0,164.0,98.0,97.0
2020-05-28,107.0,102.0,95.0,143.0,99.0,93.0
2020-05-29,109.0,102.0,97.0,139.0,99.0,93.0
2020-05-30,111.0,102.0,95.0,147.0,97.0,93.0
2020-05-31,121.0,102.0,96.0,144.0,96.0,97.0
2020-06-01,116.0,102.0,99.0,156.0,100.0,100.0
2020-06-02,107.0,101.0,96.0,129.0,100.0,94.0
2020-06-03,111.0,102.0,97.0,154.0,99.0,94.0
2020-06-04,106.0,102.0,95.0,135.0,100.0,92.0
2020-06-05,110.0,102.0,98.0,137.0,98.0,94.0
2020-06-06,113.0,103.0,93.0,149.0,85.0,93.0
2020-06-07,124.0,101.0,97.0,147.0,95.0,98.0
2020-06-08,115.0,101.0,99.0,149.0,101.0,99.0
2020-06-09,109.0,100.0,98.0,136.0,101.0,98.0
2020-06-10,104.0,102.0,95.0,126.0,99.0,91.0
2020-06-11,107.0,102.0,93.0,130.0,100.0,94.0
2020-06-12,107.0,102.0,95.0,125.0,99.0,93.0
2020-06-13,110.0,104.0,89.0,113.0,94.0,94.0
2020-06-14,100.0,103.0,91.0,128.0,93.0,96.0
2020-06-15,118.0,101.0,99.0,155.0,102.0,102.0
2020-06-16,110.0,100.0,99.0,143.0,102.0,99.0
2020-06-17,110.0,101.0,97.0,152.0,100.0,95.0
2020-06-18,101.0,102.0,91.0,118.0,100.0,91.0
2020-06-19,109.0,101.0,97.0,136.0,99.0,94.0
2020-06-20,110.0,101.0,95.0,144.0,95.0,95.0
2020-06-21,120.0,101.0,96.0,143.0,94.0,97.0
2020-06-22,113.0,101.0,98.0,149.0,100.0,99.0
2020-06-23,109.0,99.0,99.0,141.0,101.0,99.0
2020-06-24,96.0,103.0,88.0,98.0,99.0,85.0
2020-06-25,102.0,103.0,90.0,104.0,100.0,90.0
2020-06-26,109.0,101.0,97.0,134.0,100.0,96.0
2020-06-27,111.0,101.0,95.0,141.0,94.0,97.0
2020-06-28,100.0,101.0,96.0,143.0,93.0,99.0
2020-06-29,108.0,102.0,95.0,118.0,101.0,95.0
2020-06-30,106.0,102.0,93.0,108.0,101.0,96.0
2020-07-01,110.0,101.0,96.0,156.0,100.0,95.0
2020-07-02,105.0,101.0,94.0,141.0,101.0,94.0
2020-07-03,105.0,102.0,95.0,123.0,99.0,92.0
2020-07-04,110.0,102.0,93.0,144.0,94.0,94.0
2020-07-05,120.0,101.0,95.0,149.0,93.0,97.0
2020-07-06,111.0,102.0,97.0,148.0,100.0,98.0
2020-07-07,108.0,100.0,98.0,143.0,101.0,99.0
2020-07-08,105.0,101.0,95.0,155.0,100.0,95.0
2020-07-09,103.0,101.0,93.0,132.0,100.0,93.0
2020-07-10,103.0,103.0,92.0,118.0,99.0,90.0
2020-07-11,111.0,102.0,93.0,141.0,94.0,95.0
2020-07-12,92.0,103.0,88.0,112.0,90.0,90.0
2020-07-13,99.0,105.0,86.0,86.0,97.0,86.0
2020-07-14,107.0,101.0,95.0,128.0,100.0,97.0
2020-07-15,111.0,101.0,95.0,155.0,100.0,97.0
2020-07-16,108.0,100.0,94.0,146.0,101.0,97.0
2020-07-17,106.0,101.0,95.0,140.0,99.0,95.0
2020-07-18,109.0,101.0,93.0,148.0,94.0,96.0
2020-07-19,112.0,103.0,85.0,113.0,91.0,92.0
2020-07-20,110.0,103.0,93.0,140.0,99.0,97.0
2020-07-21,107.0,99.0,97.0,145.0,100.0,101.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,106.0,101.5,94.5,133.0,97.5,99.5
2020-07-29,101.0,104.0,87.5,114.0,93.5,90.5
2020-07-30,107.5,102.5,91.0,149.0,93.5,97.0
2020-07-31,109.5,102.5,95.5,147.5,91.5,98.0
2020-08-01,102.5,103.5,85.0,112.5,81.5,87.5
2020-08-02,106.0,103.0,80.5,96.5,84.0,84.0
2020-08-03,110.0,106.0,88.5,134.5,80.0,95.5
2020-08-04,113.5,103.5,94.0,144.0,82.5,105.0
2020-08-05,108.5,105.0,89.0,131.5,83.5,95.5
2020-08-06,105.5,105.0,89.0,137.0,87.5,94.5
2020-08-07,106.0,104.5,92.0,134.0,88.0,95.5
2020-08-08,101.0,105.5,83.0,97.0,87.0,87.5
2020-08-09,83.5,106.0,75.0,80.5,84.0,82.5
2020-08-10,110.0,104.5,89.0,110.5,91.5,95.0
2020-08-11,110.5,102.5,94.0,125.5,92.0,101.5
2020-08-12,108.5,101.5,94.0,146.5,92.0,99.0
2020-08-13,108.5,101.5,93.0,143.0,91.5,98.0
2020-08-14,110.0,103.0,94.0,136.0,88.0,97.0
2020-08-15,103.0,104.0,83.0,113.0,74.0,86.0
2020-08-16,119.0,99.5,92.0,147.0,84.5,96.0
2020-08-17,120.5,111.5,81.0,183.0,51.5,102.0
2020-08-18,108.0,101.5,92.5,138.5,91.5,94.0
2020-08-19,107.0,104.0,86.5,144.5,89.0,86.0
2020-08-20,102.0,104.0,82.5,135.5,89.5,84.5
2020-08-21,102.0,106.0,82.0,127.5,88.5,81.5
2020-08-22,97.5,108.0,70.5,99.0,87.5,70.0
2020-08-23,93.0,106.5,73.5,131.0,81.0,74.5
2020-08-24,114.5,105.5,84.0,151.5,89.5,87.0
2020-08-25,109.0,104.0,85.0,137.0,90.0,88.5
2020-08-26,100.0,108.5,75.5,113.5,88.0,78.0
2020-08-27,95.0,109.5,70.5,109.5,87.0,76.5
2020-08-28,99.5,108.5,75.0,117.5,88.5,80.0
2020-08-29,97.5,109.5,63.5,95.0,86.0,68.0
2020-08-30,109.0,108.5,63.5,114.5,78.5,68.0
2020-08-31,110.0,106.0,80.0,159.0,89.0,88.0
2020-09-01,103.0,105.0,79.0,147.0,89.0,85.0
2020-09-02,89.0,110.0,66.0,95.0,85.0,70.0
2020-09-03,97.0,108.0,70.0,135.0,86.0,80.0
2020-09-04,104.0,106.0,78.0,152.0,88.0,84.0
2020-09-05,105.0,107.0,69.0,133.0,85.0,79.0
2020-09-06,107.0,108.0,64.0,106.0,79.0,75.0
2020-09-07,89.0,112.0,65.0,89.0,83.0,76.0
2020-09-08,108.0,104.0,81.0,169.0,90.0,94.0
2020-09-09,100.0,106.0,76.0,164.0,88.0,88.0
2020-09-10,102.0,104.0,76.0,176.0,89.0,93.0
2020-09-11,99.0,106.0,75.0,136.0,88.0,89.0
2020-09-12,,107.0,,,85.0,
2020-09-13,,104.0,,,81.0,
2020-09-14,,103.0,,,94.0,
2020-09-15,,101.0,,,95.0,
2020-09-16,,104.0,,,93.0,
2020-09-17,,103.0,,,93.0,
2020-09-18,,103.0,,,93.0,
2020-09-19,,102.0,,,90.0,
2020-09-20,,102.0,,,88.0,
2020-09-21,,101.0,,,96.0,
2020-09-22,,100.0,,,96.0,
2020-09-23,,101.0,,,95.0,
2020-09-24,,101.0,,,96.0,
2020-09-25,,102.0,,,96.0,
2020-09-26,,103.0,,,94.0,
2020-09-27,,103.0,,,92.0,
2020-09-28,142.0,101.0,109.0,149.0,98.0,101.0
2020-09-29,163.0,99.0,116.0,144.0,93.0,107.0
2020-09-30,173.0,112.0,90.0,183.0,28.0,83.0
2020-10-01,82.0,110.0,79.0,220.0,19.0,55.0
2020-10-02,101.0,116.0,79.0,212.0,25.0,77.0
2020-10-03,94.0,107.0,87.0,153.0,59.0,76.0
2020-10-04,107.0,105.0,91.0,132.0,89.0,82.0
2020-10-05,115.0,102.0,103.0,145.0,98.0,92.0
2020-10-06,109.0,100.0,104.0,141.0,99.0,90.0
2020-10-07,111.0,101.0,102.0,152.0,99.0,87.0
2020-10-08,112.0,99.0,104.0,143.0,99.0,90.0
2020-10-09,117.0,113.0,90.0,197.0,50.0,91.0
2020-10-10,108.0,103.0,97.0,152.0,92.0,85.0
2020-10-11,99.0,103.0,101.0,158.0,93.0,88.0
2020-10-12,117.0,101.0,106.0,157.0,100.0,93.0
2020-10-13,111.0,99.0,106.0,145.0,100.0,93.0
2020-10-14,111.0,101.0,103.0,153.0,99.0,90.0
