dates,Malaysia.Google_GroceryMobility.data,Malaysia.Google_ResidentialMobility.data,Malaysia.Google_TransitStationsMobility.data,Malaysia.Google_ParksMobility.data,Malaysia.Google_WorkplacesMobility.data,Malaysia.Google_RetailMobility.data
2020-02-15,97.0,102.0,97.0,100.0,102.0,96.0
2020-02-16,96.0,102.0,97.0,100.0,100.0,94.0
2020-02-17,97.0,102.0,94.0,96.0,102.0,95.0
2020-02-18,93.0,102.0,91.0,92.0,102.0,92.0
2020-02-19,96.0,102.0,93.0,97.0,102.0,94.0
2020-02-20,96.0,101.0,95.0,98.0,102.0,98.0
2020-02-21,95.0,102.0,97.0,97.0,105.0,96.0
2020-02-22,94.0,101.0,99.0,102.0,102.0,96.0
2020-02-23,94.0,101.0,99.0,100.0,100.0,94.0
2020-02-24,96.0,102.0,94.0,95.0,102.0,96.0
2020-02-25,96.0,101.0,92.0,96.0,103.0,96.0
2020-02-26,96.0,101.0,93.0,96.0,103.0,96.0
2020-02-27,97.0,101.0,96.0,97.0,103.0,97.0
2020-02-28,99.0,101.0,100.0,99.0,106.0,100.0
2020-02-29,101.0,100.0,103.0,106.0,102.0,103.0
2020-03-01,101.0,100.0,104.0,104.0,100.0,100.0
2020-03-02,100.0,101.0,96.0,96.0,102.0,99.0
2020-03-03,98.0,101.0,92.0,93.0,103.0,97.0
2020-03-04,101.0,102.0,93.0,97.0,102.0,98.0
2020-03-05,97.0,102.0,94.0,93.0,102.0,97.0
2020-03-06,100.0,101.0,95.0,96.0,106.0,98.0
2020-03-07,101.0,101.0,96.0,98.0,102.0,98.0
2020-03-08,101.0,101.0,99.0,102.0,101.0,98.0
2020-03-09,100.0,101.0,93.0,96.0,102.0,97.0
2020-03-10,98.0,101.0,90.0,93.0,102.0,95.0
2020-03-11,99.0,102.0,90.0,93.0,102.0,95.0
2020-03-12,98.0,102.0,93.0,94.0,102.0,94.0
2020-03-13,101.0,101.0,98.0,95.0,104.0,95.0
2020-03-14,99.0,102.0,99.0,100.0,97.0,91.0
2020-03-15,97.0,102.0,98.0,106.0,91.0,90.0
2020-03-16,125.0,102.0,96.0,107.0,89.0,97.0
2020-03-17,130.0,101.0,103.0,95.0,89.0,95.0
2020-03-18,86.0,123.0,64.0,68.0,50.0,44.0
2020-03-19,76.0,130.0,42.0,55.0,44.0,33.0
2020-03-20,70.0,135.0,29.0,44.0,41.0,28.0
2020-03-21,61.0,132.0,25.0,35.0,45.0,23.0
2020-03-22,38.0,131.0,19.0,32.0,45.0,17.0
2020-03-23,51.0,138.0,22.0,43.0,31.0,22.0
2020-03-24,53.0,137.0,22.0,43.0,32.0,22.0
2020-03-25,58.0,137.0,23.0,44.0,33.0,24.0
2020-03-26,57.0,138.0,23.0,43.0,33.0,24.0
2020-03-27,57.0,139.0,20.0,38.0,36.0,23.0
2020-03-28,48.0,135.0,19.0,32.0,44.0,20.0
2020-03-29,42.0,131.0,17.0,32.0,48.0,19.0
2020-03-30,54.0,137.0,21.0,43.0,35.0,24.0
2020-03-31,55.0,136.0,22.0,43.0,35.0,24.0
2020-04-01,52.0,136.0,21.0,43.0,35.0,23.0
2020-04-02,52.0,139.0,21.0,42.0,35.0,23.0
2020-04-03,51.0,140.0,18.0,38.0,37.0,22.0
2020-04-04,45.0,136.0,17.0,31.0,45.0,19.0
2020-04-05,42.0,131.0,16.0,32.0,49.0,19.0
2020-04-06,56.0,137.0,21.0,43.0,36.0,25.0
2020-04-07,57.0,136.0,21.0,43.0,35.0,25.0
2020-04-08,56.0,137.0,21.0,43.0,35.0,24.0
2020-04-09,58.0,138.0,21.0,42.0,36.0,26.0
2020-04-10,54.0,140.0,18.0,38.0,37.0,23.0
2020-04-11,51.0,135.0,18.0,32.0,47.0,22.0
2020-04-12,45.0,131.0,17.0,33.0,50.0,20.0
2020-04-13,59.0,136.0,22.0,44.0,38.0,27.0
2020-04-14,56.0,136.0,22.0,44.0,37.0,26.0
2020-04-15,54.0,138.0,21.0,43.0,37.0,24.0
2020-04-16,58.0,139.0,23.0,46.0,37.0,21.0
2020-04-17,56.0,140.0,20.0,41.0,39.0,19.0
2020-04-18,44.0,136.0,18.0,31.0,47.0,16.0
2020-04-19,42.0,131.0,17.0,32.0,51.0,16.0
2020-04-20,55.0,136.0,22.0,44.0,39.0,22.0
2020-04-21,56.0,135.0,23.0,44.0,39.0,22.0
2020-04-22,56.0,136.0,23.0,44.0,40.0,21.0
2020-04-23,63.0,136.0,24.0,44.0,40.0,25.0
2020-04-24,56.0,140.0,18.0,37.0,39.0,19.0
2020-04-25,50.0,135.0,18.0,31.0,49.0,17.0
2020-04-26,46.0,131.0,17.0,32.0,51.0,17.0
2020-04-27,58.0,136.0,22.0,44.0,42.0,22.0
2020-04-28,58.0,134.0,23.0,44.0,41.0,22.0
2020-04-29,59.0,134.0,24.0,45.0,42.0,22.0
2020-04-30,67.0,135.0,27.0,44.0,44.0,24.0
2020-05-01,65.0,141.0,22.0,37.0,30.0,21.0
2020-05-02,59.0,133.0,25.0,33.0,55.0,20.0
2020-05-03,55.0,129.0,23.0,34.0,56.0,20.0
2020-05-04,74.0,129.0,34.0,47.0,55.0,30.0
2020-05-05,77.0,128.0,36.0,48.0,55.0,32.0
2020-05-06,82.0,127.0,39.0,50.0,56.0,34.0
2020-05-07,85.0,132.0,36.0,50.0,41.0,36.0
