dates,Mexico.Google_GroceryMobility.data,Mexico.Google_ResidentialMobility.data,Mexico.Google_TransitStationsMobility.data,Mexico.Google_ParksMobility.data,Mexico.Google_WorkplacesMobility.data,Mexico.Google_RetailMobility.data
2020-02-15,104.0,99.0,104.0,106.0,103.0,106.0
2020-02-16,106.0,99.0,106.0,107.0,102.0,107.0
2020-02-17,104.0,98.0,105.0,103.0,111.0,102.0
2020-02-18,99.0,98.0,102.0,103.0,109.0,100.0
2020-02-19,100.0,99.0,103.0,102.0,108.0,100.0
2020-02-20,99.0,99.0,103.0,102.0,107.0,100.0
2020-02-21,98.0,99.0,104.0,99.0,111.0,98.0
2020-02-22,100.0,100.0,104.0,107.0,104.0,100.0
2020-02-23,101.0,99.0,107.0,108.0,102.0,102.0
2020-02-24,100.0,99.0,104.0,106.0,108.0,98.0
2020-02-25,98.0,99.0,102.0,107.0,106.0,98.0
2020-02-26,99.0,99.0,101.0,103.0,106.0,97.0
2020-02-27,101.0,99.0,102.0,100.0,107.0,101.0
2020-02-28,106.0,98.0,106.0,103.0,112.0,103.0
2020-02-29,108.0,99.0,105.0,105.0,106.0,106.0
2020-03-01,109.0,99.0,107.0,107.0,103.0,106.0
2020-03-02,106.0,98.0,104.0,102.0,110.0,101.0
2020-03-03,103.0,98.0,102.0,102.0,109.0,101.0
2020-03-04,104.0,99.0,103.0,102.0,109.0,101.0
2020-03-05,103.0,99.0,103.0,103.0,108.0,102.0
2020-03-06,100.0,99.0,103.0,100.0,112.0,99.0
2020-03-07,102.0,100.0,102.0,104.0,106.0,101.0
2020-03-08,103.0,100.0,104.0,110.0,103.0,103.0
2020-03-09,94.0,107.0,83.0,92.0,84.0,89.0
2020-03-10,100.0,98.0,103.0,102.0,109.0,98.0
2020-03-11,102.0,99.0,102.0,102.0,108.0,99.0
2020-03-12,104.0,98.0,103.0,103.0,108.0,101.0
2020-03-13,106.0,99.0,105.0,103.0,105.0,102.0
2020-03-14,110.0,99.0,104.0,106.0,103.0,102.0
2020-03-15,107.0,99.0,96.0,106.0,101.0,100.0
2020-03-16,105.0,113.0,70.0,93.0,46.0,89.0
2020-03-17,105.0,102.0,91.0,92.0,97.0,93.0
2020-03-18,103.0,106.0,83.0,86.0,90.0,87.0
2020-03-19,101.0,107.0,78.0,84.0,86.0,83.0
2020-03-20,97.0,109.0,74.0,78.0,86.0,77.0
2020-03-21,93.0,109.0,71.0,68.0,93.0,69.0
2020-03-22,87.0,108.0,67.0,63.0,90.0,63.0
2020-03-23,86.0,112.0,63.0,70.0,71.0,69.0
2020-03-24,84.0,114.0,59.0,67.0,66.0,65.0
2020-03-25,84.0,116.0,56.0,64.0,64.0,63.0
2020-03-26,83.0,116.0,54.0,64.0,63.0,63.0
2020-03-27,83.0,117.0,53.0,63.0,66.0,61.0
2020-03-28,86.0,112.0,57.0,61.0,82.0,60.0
2020-03-29,81.0,111.0,53.0,54.0,80.0,55.0
2020-03-30,85.0,115.0,53.0,64.0,62.0,65.0
2020-03-31,85.0,116.0,52.0,63.0,59.0,65.0
2020-04-01,87.0,118.0,50.0,61.0,56.0,63.0
2020-04-02,88.0,119.0,48.0,59.0,54.0,53.0
2020-04-03,89.0,121.0,48.0,57.0,57.0,44.0
2020-04-04,89.0,116.0,52.0,54.0,73.0,43.0
2020-04-05,81.0,113.0,49.0,48.0,73.0,38.0
2020-04-06,85.0,119.0,46.0,59.0,51.0,46.0
2020-04-07,82.0,120.0,44.0,58.0,48.0,47.0
2020-04-08,87.0,120.0,45.0,58.0,47.0,48.0
2020-04-09,84.0,123.0,38.0,54.0,36.0,42.0
2020-04-10,70.0,130.0,28.0,43.0,28.0,29.0
2020-04-11,74.0,120.0,37.0,46.0,51.0,34.0
2020-04-12,71.0,113.0,43.0,42.0,69.0,35.0
2020-04-13,80.0,120.0,44.0,55.0,51.0,46.0
2020-04-14,81.0,121.0,43.0,56.0,50.0,46.0
2020-04-15,87.0,121.0,44.0,56.0,50.0,49.0
2020-04-16,85.0,122.0,43.0,55.0,49.0,49.0
2020-04-17,82.0,124.0,42.0,53.0,53.0,45.0
2020-04-18,77.0,117.0,45.0,49.0,71.0,41.0
2020-04-19,72.0,113.0,44.0,44.0,74.0,38.0
2020-04-20,75.0,120.0,43.0,53.0,53.0,45.0
2020-04-21,72.0,121.0,40.0,50.0,50.0,42.0
2020-04-22,73.0,122.0,40.0,49.0,50.0,42.0
2020-04-23,72.0,123.0,39.0,48.0,49.0,41.0
2020-04-24,72.0,124.0,38.0,47.0,53.0,39.0
2020-04-25,73.0,118.0,42.0,45.0,69.0,38.0
2020-04-26,69.0,114.0,41.0,40.0,72.0,35.0
2020-04-27,72.0,122.0,40.0,49.0,52.0,42.0
2020-04-28,72.0,117.0,39.0,50.0,50.0,42.0
2020-04-29,79.0,122.0,40.0,51.0,50.0,45.0
2020-04-30,90.0,120.0,43.0,55.0,51.0,53.0
2020-05-01,78.0,128.0,33.0,46.0,37.0,39.0
2020-05-02,79.0,118.0,43.0,48.0,67.0,41.0
2020-05-03,72.0,113.0,42.0,42.0,75.0,37.0
2020-05-04,78.0,121.0,41.0,53.0,53.0,46.0
2020-05-05,75.0,122.0,39.0,50.0,49.0,44.0
2020-05-06,77.0,122.0,39.0,51.0,51.0,44.0
2020-05-07,78.0,123.0,38.0,50.0,50.0,44.0
2020-05-08,78.0,124.0,39.0,49.0,54.0,43.0
2020-05-09,83.0,117.0,44.0,49.0,72.0,44.0
2020-05-10,76.0,111.0,43.0,44.0,86.0,41.0
2020-05-11,74.0,121.0,40.0,50.0,53.0,43.0
2020-05-12,75.0,121.0,40.0,52.0,52.0,45.0
2020-05-13,77.0,122.0,39.0,52.0,52.0,45.0
2020-05-14,80.0,122.0,40.0,52.0,52.0,47.0
2020-05-15,84.0,123.0,42.0,54.0,56.0,47.0
2020-05-16,84.0,116.0,47.0,51.0,74.0,45.0
2020-05-17,76.0,113.0,44.0,45.0,80.0,40.0
2020-05-18,81.0,120.0,43.0,54.0,56.0,48.0
2020-05-19,79.0,121.0,42.0,55.0,54.0,47.0
2020-05-20,81.0,121.0,42.0,55.0,54.0,47.0
2020-05-21,80.0,122.0,42.0,54.0,53.0,46.0
2020-05-22,80.0,122.0,42.0,53.0,58.0,44.0
2020-05-23,82.0,116.0,47.0,51.0,78.0,44.0
2020-05-24,76.0,113.0,45.0,47.0,82.0,40.0
2020-05-25,81.0,120.0,44.0,56.0,57.0,47.0
2020-05-26,78.0,120.0,42.0,55.0,56.0,46.0
2020-05-27,78.0,121.0,41.0,54.0,56.0,46.0
2020-05-28,81.0,121.0,42.0,54.0,56.0,47.0
2020-05-29,86.0,122.0,44.0,55.0,60.0,48.0
2020-05-30,88.0,114.0,50.0,54.0,83.0,47.0
2020-05-31,81.0,112.0,48.0,48.0,89.0,43.0
2020-06-01,87.0,118.0,48.0,57.0,62.0,52.0
2020-06-02,83.0,119.0,46.0,57.0,59.0,50.0
2020-06-03,83.0,119.0,46.0,57.0,59.0,50.0
2020-06-04,83.0,120.0,45.0,56.0,59.0,50.0
2020-06-05,84.0,121.0,45.0,55.0,63.0,48.0
2020-06-06,86.0,114.0,51.0,54.0,84.0,48.0
2020-06-07,79.0,111.0,49.0,50.0,90.0,44.0
2020-06-08,82.0,118.0,47.0,57.0,63.0,50.0
2020-06-09,80.0,118.0,45.0,56.0,61.0,50.0
2020-06-10,84.0,118.0,46.0,58.0,61.0,52.0
2020-06-11,84.0,119.0,46.0,57.0,60.0,52.0
2020-06-12,87.0,119.0,47.0,58.0,65.0,52.0
2020-06-13,90.0,113.0,53.0,59.0,88.0,52.0
2020-06-14,83.0,111.0,51.0,54.0,94.0,48.0
2020-06-15,91.0,116.0,51.0,64.0,65.0,57.0
2020-06-16,89.0,117.0,50.0,64.0,63.0,58.0
2020-06-17,89.0,118.0,49.0,63.0,62.0,57.0
2020-06-18,87.0,118.0,49.0,62.0,61.0,56.0
2020-06-19,89.0,117.0,50.0,62.0,66.0,54.0
2020-06-20,93.0,112.0,56.0,61.0,89.0,55.0
2020-06-21,86.0,108.0,53.0,54.0,104.0,50.0
2020-06-22,83.0,117.0,49.0,60.0,62.0,54.0
2020-06-23,82.0,117.0,48.0,61.0,61.0,54.0
2020-06-24,85.0,118.0,49.0,60.0,62.0,55.0
