dates,Netherlands.Google_GroceryMobility.data,Netherlands.Google_ResidentialMobility.data,Netherlands.Google_TransitStationsMobility.data,Netherlands.Google_ParksMobility.data,Netherlands.Google_WorkplacesMobility.data,Netherlands.Google_RetailMobility.data
2020-02-15,101.0,100.0,103.0,111.0,100.0,101.0
2020-02-16,92.0,102.0,95.0,69.0,97.0,90.0
2020-02-17,99.0,101.0,97.0,108.0,95.0,100.0
2020-02-18,104.0,101.0,97.0,121.0,95.0,105.0
2020-02-19,100.0,101.0,97.0,120.0,95.0,103.0
2020-02-20,99.0,101.0,97.0,95.0,94.0,101.0
2020-02-21,104.0,100.0,101.0,122.0,91.0,108.0
2020-02-22,98.0,100.0,110.0,98.0,96.0,101.0
2020-02-23,89.0,100.0,102.0,74.0,97.0,101.0
2020-02-24,93.0,103.0,96.0,104.0,79.0,109.0
2020-02-25,108.0,102.0,96.0,135.0,83.0,116.0
2020-02-26,100.0,102.0,93.0,109.0,87.0,103.0
2020-02-27,98.0,103.0,92.0,91.0,87.0,99.0
2020-02-28,102.0,102.0,95.0,111.0,87.0,102.0
2020-02-29,101.0,101.0,97.0,94.0,98.0,97.0
2020-03-01,104.0,100.0,102.0,102.0,101.0,103.0
2020-03-02,98.0,101.0,99.0,88.0,102.0,94.0
2020-03-03,106.0,100.0,98.0,120.0,102.0,102.0
2020-03-04,103.0,100.0,99.0,121.0,103.0,102.0
2020-03-05,99.0,101.0,97.0,89.0,102.0,95.0
2020-03-06,104.0,101.0,99.0,110.0,102.0,101.0
2020-03-07,102.0,100.0,103.0,139.0,100.0,102.0
2020-03-08,101.0,101.0,97.0,95.0,100.0,99.0
2020-03-09,102.0,101.0,96.0,106.0,101.0,97.0
2020-03-10,102.0,102.0,94.0,94.0,99.0,93.0
2020-03-11,104.0,102.0,92.0,118.0,98.0,98.0
2020-03-12,112.0,104.0,88.0,95.0,97.0,91.0
2020-03-13,124.0,106.0,74.0,98.0,89.0,88.0
2020-03-14,108.0,106.0,72.0,121.0,94.0,81.0
2020-03-15,111.0,105.0,67.0,115.0,89.0,68.0
