dates,NewZealand.Google_GroceryMobility.data,NewZealand.Google_ResidentialMobility.data,NewZealand.Google_TransitStationsMobility.data,NewZealand.Google_ParksMobility.data,NewZealand.Google_WorkplacesMobility.data,NewZealand.Google_RetailMobility.data
2020-02-15,105.0,100.0,108.0,100.0,104.0,108.0
2020-02-16,104.0,101.0,107.0,89.0,100.0,104.0
2020-02-17,98.0,97.0,115.0,95.0,131.0,98.0
2020-02-18,102.0,99.0,108.0,101.0,115.0,99.0
2020-02-19,102.0,98.0,111.0,100.0,114.0,101.0
2020-02-20,100.0,98.0,111.0,97.0,118.0,101.0
2020-02-21,100.0,98.0,110.0,95.0,117.0,104.0
2020-02-22,104.0,102.0,101.0,88.0,104.0,107.0
2020-02-23,103.0,101.0,102.0,90.0,101.0,105.0
2020-02-24,99.0,97.0,118.0,99.0,132.0,99.0
2020-02-25,101.0,99.0,110.0,107.0,115.0,99.0
2020-02-26,105.0,98.0,112.0,102.0,116.0,100.0
2020-02-27,101.0,98.0,112.0,94.0,119.0,100.0
2020-02-28,104.0,98.0,113.0,96.0,119.0,104.0
2020-02-29,113.0,100.0,103.0,98.0,105.0,106.0
2020-03-01,104.0,101.0,108.0,99.0,101.0,101.0
2020-03-02,99.0,98.0,116.0,90.0,134.0,96.0
2020-03-03,100.0,99.0,108.0,94.0,117.0,96.0
2020-03-04,100.0,99.0,109.0,83.0,116.0,98.0
2020-03-05,101.0,99.0,110.0,85.0,120.0,100.0
2020-03-06,102.0,99.0,109.0,91.0,119.0,104.0
2020-03-07,104.0,101.0,103.0,102.0,106.0,107.0
2020-03-08,104.0,101.0,105.0,94.0,101.0,103.0
2020-03-09,96.0,98.0,112.0,82.0,130.0,94.0
2020-03-10,98.0,100.0,106.0,89.0,116.0,96.0
2020-03-11,98.0,99.0,107.0,86.0,116.0,97.0
2020-03-12,99.0,99.0,107.0,85.0,119.0,98.0
2020-03-13,100.0,99.0,106.0,88.0,118.0,102.0
2020-03-14,103.0,101.0,98.0,100.0,106.0,104.0
2020-03-15,106.0,101.0,98.0,92.0,101.0,99.0
2020-03-16,105.0,99.0,103.0,81.0,130.0,93.0
2020-03-17,110.0,101.0,91.0,78.0,113.0,91.0
2020-03-18,113.0,102.0,90.0,78.0,110.0,92.0
2020-03-19,122.0,103.0,86.0,66.0,112.0,90.0
2020-03-20,112.0,105.0,80.0,63.0,109.0,87.0
2020-03-21,106.0,108.0,68.0,62.0,100.0,83.0
2020-03-22,96.0,108.0,64.0,64.0,92.0,75.0
2020-03-23,129.0,106.0,66.0,50.0,106.0,88.0
2020-03-24,112.0,116.0,49.0,48.0,68.0,81.0
2020-03-25,104.0,120.0,39.0,48.0,51.0,62.0
2020-03-26,42.0,135.0,16.0,23.0,26.0,8.0
2020-03-27,52.0,138.0,16.0,20.0,26.0,9.0
2020-03-28,47.0,126.0,16.0,20.0,37.0,8.0
2020-03-29,46.0,122.0,16.0,22.0,41.0,9.0
2020-03-30,56.0,130.0,15.0,27.0,29.0,12.0
2020-03-31,62.0,133.0,15.0,34.0,25.0,13.0
2020-04-01,62.0,134.0,15.0,34.0,26.0,13.0
2020-04-02,63.0,134.0,15.0,31.0,26.0,12.0
2020-04-03,63.0,137.0,14.0,28.0,27.0,11.0
2020-04-04,54.0,125.0,16.0,25.0,40.0,9.0
2020-04-05,52.0,121.0,16.0,26.0,43.0,10.0
2020-04-06,61.0,130.0,15.0,29.0,30.0,12.0
2020-04-07,65.0,133.0,15.0,33.0,26.0,12.0
2020-04-08,69.0,133.0,15.0,26.0,26.0,13.0
2020-04-09,82.0,133.0,15.0,23.0,27.0,14.0
2020-04-10,9.0,142.0,11.0,32.0,12.0,5.0
2020-04-11,67.0,124.0,18.0,25.0,42.0,12.0
2020-04-12,41.0,122.0,15.0,23.0,41.0,8.0
2020-04-13,55.0,134.0,11.0,24.0,15.0,9.0
2020-04-14,63.0,134.0,13.0,23.0,26.0,11.0
2020-04-15,64.0,134.0,14.0,24.0,27.0,12.0
2020-04-16,65.0,134.0,14.0,25.0,28.0,11.0
2020-04-17,63.0,137.0,13.0,19.0,28.0,10.0
2020-04-18,55.0,125.0,16.0,23.0,43.0,9.0
2020-04-19,50.0,121.0,15.0,23.0,45.0,9.0
2020-04-20,58.0,129.0,15.0,29.0,32.0,11.0
2020-04-21,64.0,133.0,15.0,34.0,29.0,13.0
2020-04-22,65.0,133.0,16.0,36.0,30.0,13.0
2020-04-23,65.0,133.0,15.0,26.0,32.0,12.0
2020-04-24,69.0,135.0,16.0,32.0,34.0,12.0
2020-04-25,47.0,124.0,19.0,31.0,44.0,11.0
2020-04-26,63.0,120.0,18.0,31.0,51.0,12.0
2020-04-27,59.0,132.0,13.0,37.0,19.0,11.0
2020-04-28,72.0,122.0,27.0,52.0,53.0,32.0
2020-04-29,70.0,114.0,28.0,49.0,52.0,30.0
2020-04-30,75.0,124.0,31.0,47.0,54.0,19.0
2020-05-01,77.0,125.0,31.0,49.0,56.0,20.0
2020-05-02,71.0,118.0,35.0,44.0,66.0,17.0
2020-05-03,62.0,118.0,24.0,28.0,61.0,13.0
2020-05-04,70.0,120.0,30.0,41.0,63.0,20.0
2020-05-05,71.0,124.0,28.0,36.0,54.0,19.0
2020-05-06,77.0,123.0,32.0,52.0,56.0,21.0
2020-05-07,75.0,123.0,30.0,45.0,58.0,28.0
2020-05-08,79.0,124.0,30.0,49.0,60.0,30.0
2020-05-09,80.0,116.0,36.0,59.0,73.0,29.0
2020-05-10,75.0,114.0,32.0,56.0,70.0,28.0
2020-05-11,67.0,119.0,30.0,46.0,67.0,28.0
2020-05-12,75.0,122.0,30.0,48.0,60.0,30.0
2020-05-13,75.0,121.0,32.0,47.0,61.0,30.0
2020-05-14,91.0,115.0,50.0,55.0,72.0,65.0
2020-05-15,92.0,116.0,52.0,58.0,72.0,65.0
2020-05-16,92.0,108.0,68.0,65.0,88.0,69.0
2020-05-17,90.0,108.0,62.0,67.0,83.0,66.0
2020-05-18,90.0,108.0,61.0,61.0,98.0,67.0
2020-05-19,90.0,111.0,58.0,63.0,86.0,64.0
2020-05-20,87.0,111.0,53.0,62.0,86.0,71.0
2020-05-21,88.0,111.0,53.0,58.0,90.0,72.0
2020-05-22,92.0,111.0,55.0,61.0,91.0,76.0
2020-05-23,91.0,107.0,62.0,67.0,93.0,82.0
2020-05-24,85.0,108.0,48.0,47.0,84.0,75.0
2020-05-25,84.0,109.0,52.0,43.0,99.0,71.0
2020-05-26,88.0,110.0,54.0,59.0,91.0,73.0
2020-05-27,88.0,110.0,56.0,55.0,91.0,74.0
2020-05-28,91.0,109.0,60.0,60.0,95.0,76.0
2020-05-29,95.0,109.0,60.0,55.0,91.0,80.0
2020-05-30,96.0,105.0,69.0,74.0,95.0,88.0
2020-05-31,87.0,105.0,59.0,69.0,89.0,85.0
2020-06-01,91.0,117.0,44.0,66.0,28.0,82.0
2020-06-02,89.0,108.0,59.0,64.0,92.0,71.0
2020-06-03,88.0,109.0,61.0,60.0,94.0,73.0
2020-06-04,90.0,109.0,59.0,49.0,98.0,73.0
2020-06-05,91.0,109.0,57.0,49.0,98.0,84.0
2020-06-06,92.0,107.0,59.0,59.0,98.0,92.0
2020-06-07,90.0,107.0,54.0,62.0,92.0,88.0
2020-06-08,86.0,106.0,59.0,60.0,109.0,79.0
2020-06-09,89.0,107.0,59.0,65.0,97.0,81.0
2020-06-10,88.0,107.0,62.0,65.0,97.0,83.0
2020-06-11,90.0,107.0,62.0,60.0,101.0,86.0
2020-06-12,93.0,107.0,64.0,55.0,100.0,91.0
2020-06-13,96.0,105.0,67.0,70.0,101.0,99.0
2020-06-14,92.0,105.0,67.0,67.0,96.0,94.0
2020-06-15,88.0,104.0,66.0,61.0,111.0,82.0
2020-06-16,90.0,106.0,64.0,65.0,98.0,83.0
2020-06-17,90.0,106.0,67.0,64.0,98.0,85.0
