dates,Norway.Google_GroceryMobility.data,Norway.Google_ResidentialMobility.data,Norway.Google_TransitStationsMobility.data,Norway.Google_ParksMobility.data,Norway.Google_WorkplacesMobility.data,Norway.Google_RetailMobility.data
2020-02-15,101.0,99.0,107.0,126.0,99.0,101.0
2020-02-16,103.0,101.0,95.0,66.0,97.0,95.0
2020-02-17,100.0,102.0,95.0,113.0,88.0,102.0
2020-02-18,99.0,101.0,95.0,115.0,89.0,103.0
2020-02-19,104.0,100.0,99.0,149.0,88.0,106.0
2020-02-20,98.0,102.0,91.0,96.0,86.0,99.0
2020-02-21,99.0,102.0,96.0,112.0,85.0,101.0
2020-02-22,99.0,100.0,102.0,109.0,96.0,97.0
2020-02-23,109.0,98.0,107.0,100.0,98.0,99.0
2020-02-24,101.0,100.0,103.0,121.0,95.0,101.0
2020-02-25,101.0,101.0,99.0,113.0,96.0,101.0
2020-02-26,102.0,100.0,101.0,123.0,96.0,102.0
2020-02-27,103.0,101.0,100.0,114.0,95.0,101.0
2020-02-28,103.0,101.0,101.0,120.0,95.0,101.0
2020-02-29,99.0,100.0,102.0,102.0,98.0,96.0
2020-03-01,102.0,100.0,99.0,70.0,99.0,90.0
2020-03-02,102.0,101.0,100.0,104.0,98.0,98.0
2020-03-03,101.0,101.0,98.0,106.0,99.0,99.0
2020-03-04,101.0,101.0,101.0,109.0,98.0,97.0
2020-03-05,104.0,100.0,103.0,126.0,98.0,100.0
2020-03-06,103.0,100.0,102.0,118.0,98.0,98.0
2020-03-07,100.0,100.0,101.0,129.0,98.0,93.0
2020-03-08,98.0,101.0,91.0,63.0,98.0,89.0
2020-03-09,102.0,101.0,98.0,111.0,98.0,96.0
2020-03-10,102.0,102.0,93.0,96.0,99.0,95.0
2020-03-11,109.0,103.0,91.0,110.0,97.0,94.0
2020-03-12,151.0,105.0,80.0,99.0,89.0,94.0
2020-03-13,105.0,114.0,61.0,103.0,64.0,66.0
2020-03-14,91.0,108.0,63.0,126.0,77.0,53.0
2020-03-15,61.0,111.0,46.0,50.0,73.0,29.0
2020-03-16,91.0,118.0,51.0,122.0,52.0,61.0
2020-03-17,85.0,119.0,47.0,110.0,49.0,56.0
2020-03-18,85.0,120.0,45.0,118.0,48.0,54.0
2020-03-19,89.0,120.0,44.0,124.0,48.0,56.0
2020-03-20,88.0,121.0,45.0,131.0,48.0,56.0
2020-03-21,90.0,109.0,58.0,180.0,67.0,51.0
2020-03-22,68.0,112.0,43.0,92.0,66.0,35.0
2020-03-23,86.0,120.0,42.0,99.0,48.0,59.0
2020-03-24,86.0,120.0,41.0,92.0,47.0,55.0
2020-03-25,87.0,120.0,42.0,100.0,48.0,55.0
2020-03-26,90.0,120.0,44.0,129.0,48.0,57.0
2020-03-27,91.0,121.0,43.0,116.0,50.0,58.0
2020-03-28,92.0,110.0,50.0,129.0,67.0,53.0
2020-03-29,68.0,111.0,43.0,95.0,66.0,35.0
2020-03-30,89.0,118.0,47.0,137.0,49.0,63.0
2020-03-31,93.0,118.0,48.0,123.0,49.0,64.0
2020-04-01,94.0,119.0,46.0,118.0,50.0,64.0
2020-04-02,96.0,120.0,42.0,93.0,50.0,63.0
2020-04-03,97.0,119.0,47.0,113.0,51.0,65.0
2020-04-04,97.0,109.0,54.0,132.0,69.0,60.0
2020-04-05,78.0,111.0,48.0,114.0,68.0,40.0
2020-04-06,109.0,117.0,54.0,189.0,42.0,84.0
2020-04-07,127.0,116.0,56.0,204.0,41.0,88.0
2020-04-08,140.0,118.0,48.0,137.0,36.0,89.0
2020-04-09,20.0,125.0,42.0,266.0,15.0,20.0
2020-04-10,20.0,126.0,42.0,263.0,15.0,19.0
2020-04-11,98.0,109.0,45.0,98.0,64.0,57.0
2020-04-12,69.0,110.0,48.0,112.0,66.0,37.0
2020-04-13,20.0,127.0,37.0,170.0,14.0,20.0
2020-04-14,107.0,117.0,48.0,103.0,53.0,74.0
2020-04-15,97.0,117.0,53.0,144.0,53.0,71.0
2020-04-16,98.0,117.0,52.0,153.0,54.0,72.0
