dates,Philippines.Google_GroceryMobility.data,Philippines.Google_ResidentialMobility.data,Philippines.Google_TransitStationsMobility.data,Philippines.Google_ParksMobility.data,Philippines.Google_WorkplacesMobility.data,Philippines.Google_RetailMobility.data
2020-02-15,104.0,100.0,101.0,99.0,106.0,107.0
2020-02-16,105.0,101.0,97.0,98.0,101.0,103.0
2020-02-17,100.0,101.0,98.0,97.0,108.0,99.0
2020-02-18,101.0,100.0,100.0,97.0,105.0,100.0
2020-02-19,97.0,101.0,94.0,96.0,105.0,97.0
2020-02-20,98.0,100.0,95.0,95.0,106.0,98.0
2020-02-21,98.0,101.0,94.0,92.0,108.0,98.0
2020-02-22,100.0,100.0,99.0,99.0,107.0,101.0
2020-02-23,100.0,101.0,93.0,100.0,102.0,97.0
2020-02-24,99.0,101.0,96.0,106.0,104.0,101.0
2020-02-25,98.0,111.0,82.0,111.0,57.0,100.0
2020-02-26,99.0,100.0,97.0,100.0,106.0,97.0
2020-02-27,99.0,100.0,94.0,96.0,106.0,98.0
2020-02-28,101.0,100.0,94.0,94.0,108.0,99.0
2020-02-29,106.0,100.0,100.0,99.0,109.0,105.0
2020-03-01,107.0,101.0,95.0,100.0,105.0,102.0
2020-03-02,102.0,100.0,95.0,98.0,109.0,100.0
2020-03-03,102.0,100.0,96.0,98.0,107.0,101.0
2020-03-04,102.0,101.0,93.0,99.0,106.0,99.0
2020-03-05,102.0,100.0,94.0,97.0,107.0,100.0
2020-03-06,99.0,101.0,92.0,91.0,108.0,97.0
2020-03-07,102.0,101.0,96.0,99.0,107.0,100.0
2020-03-08,102.0,101.0,91.0,98.0,103.0,96.0
2020-03-09,101.0,101.0,93.0,99.0,107.0,97.0
2020-03-10,103.0,103.0,89.0,95.0,96.0,96.0
2020-03-11,105.0,104.0,83.0,94.0,95.0,92.0
2020-03-12,108.0,105.0,83.0,92.0,94.0,92.0
2020-03-13,109.0,107.0,83.0,84.0,91.0,88.0
2020-03-14,105.0,106.0,85.0,80.0,94.0,82.0
2020-03-15,90.0,111.0,58.0,71.0,90.0,60.0
2020-03-16,96.0,115.0,58.0,82.0,69.0,66.0
2020-03-17,79.0,124.0,37.0,70.0,45.0,43.0
2020-03-18,64.0,128.0,28.0,64.0,38.0,34.0
2020-03-19,59.0,130.0,25.0,61.0,35.0,31.0
2020-03-20,55.0,133.0,21.0,53.0,34.0,27.0
2020-03-21,52.0,127.0,22.0,48.0,43.0,25.0
2020-03-22,47.0,124.0,21.0,44.0,50.0,21.0
2020-03-23,50.0,133.0,19.0,55.0,31.0,25.0
2020-03-24,49.0,133.0,19.0,53.0,29.0,24.0
2020-03-25,49.0,134.0,19.0,54.0,28.0,24.0
2020-03-26,48.0,134.0,19.0,53.0,28.0,24.0
2020-03-27,49.0,137.0,17.0,48.0,28.0,23.0
2020-03-28,47.0,130.0,18.0,44.0,38.0,22.0
2020-03-29,41.0,126.0,18.0,41.0,46.0,19.0
2020-03-30,41.0,135.0,16.0,52.0,27.0,21.0
2020-03-31,43.0,135.0,17.0,51.0,26.0,21.0
2020-04-01,42.0,135.0,16.0,52.0,26.0,21.0
2020-04-02,42.0,136.0,16.0,51.0,26.0,20.0
2020-04-03,42.0,139.0,15.0,46.0,27.0,20.0
2020-04-04,42.0,131.0,16.0,43.0,37.0,20.0
2020-04-05,38.0,126.0,16.0,40.0,46.0,18.0
2020-04-06,43.0,135.0,16.0,52.0,28.0,22.0
2020-04-07,46.0,135.0,17.0,52.0,26.0,23.0
2020-04-08,50.0,134.0,17.0,53.0,26.0,24.0
2020-04-09,35.0,138.0,14.0,49.0,20.0,15.0
2020-04-10,22.0,143.0,10.0,41.0,18.0,10.0
2020-04-11,40.0,132.0,14.0,41.0,33.0,18.0
2020-04-12,38.0,126.0,16.0,40.0,45.0,18.0
2020-04-13,47.0,135.0,17.0,53.0,29.0,24.0
2020-04-14,48.0,135.0,18.0,52.0,27.0,24.0
2020-04-15,47.0,135.0,17.0,52.0,28.0,24.0
2020-04-16,46.0,136.0,16.0,52.0,28.0,23.0
2020-04-17,44.0,139.0,15.0,47.0,29.0,21.0
2020-04-18,39.0,130.0,16.0,40.0,38.0,19.0
2020-04-19,34.0,126.0,15.0,37.0,46.0,17.0
2020-04-20,42.0,135.0,16.0,50.0,29.0,22.0
2020-04-21,40.0,135.0,16.0,49.0,28.0,21.0
2020-04-22,38.0,135.0,15.0,49.0,28.0,20.0
2020-04-23,38.0,136.0,15.0,47.0,28.0,20.0
2020-04-24,37.0,138.0,14.0,43.0,29.0,19.0
2020-04-25,38.0,131.0,15.0,40.0,39.0,19.0
2020-04-26,31.0,127.0,15.0,37.0,47.0,16.0
2020-04-27,40.0,135.0,16.0,50.0,31.0,22.0
2020-04-28,42.0,135.0,17.0,50.0,29.0,23.0
2020-04-29,43.0,134.0,17.0,52.0,30.0,23.0
2020-04-30,50.0,134.0,21.0,46.0,31.0,18.0
2020-05-01,47.0,139.0,18.0,41.0,26.0,16.0
2020-05-02,47.0,130.0,21.0,38.0,42.0,16.0
2020-05-03,37.0,126.0,19.0,34.0,49.0,13.0
2020-05-04,49.0,133.0,22.0,47.0,34.0,19.0
2020-05-05,52.0,133.0,23.0,47.0,33.0,19.0
2020-05-06,53.0,133.0,24.0,48.0,33.0,20.0
