dates,Portugal.Google_GroceryMobility.data,Portugal.Google_ResidentialMobility.data,Portugal.Google_TransitStationsMobility.data,Portugal.Google_ParksMobility.data,Portugal.Google_WorkplacesMobility.data,Portugal.Google_RetailMobility.data
2020-02-15,100.0,99.0,109.0,121.0,101.0,104.0
2020-02-16,102.0,100.0,103.0,86.0,101.0,97.0
2020-02-17,103.0,100.0,103.0,108.0,103.0,100.0
2020-02-18,103.0,100.0,105.0,106.0,103.0,102.0
2020-02-19,103.0,99.0,108.0,124.0,103.0,104.0
2020-02-20,103.0,99.0,108.0,124.0,102.0,106.0
2020-02-21,106.0,98.0,111.0,136.0,101.0,104.0
2020-02-22,104.0,97.0,113.0,147.0,100.0,104.0
2020-02-23,105.0,96.0,116.0,155.0,101.0,108.0
2020-02-24,112.0,103.0,97.0,180.0,72.0,118.0
2020-02-25,100.0,116.0,75.0,133.0,35.0,98.0
2020-02-26,104.0,102.0,102.0,125.0,87.0,100.0
2020-02-27,106.0,100.0,106.0,127.0,100.0,104.0
2020-02-28,110.0,99.0,106.0,125.0,101.0,102.0
2020-02-29,107.0,101.0,103.0,95.0,101.0,100.0
2020-03-01,103.0,102.0,99.0,67.0,100.0,92.0
2020-03-02,109.0,100.0,104.0,108.0,103.0,103.0
2020-03-03,107.0,100.0,101.0,97.0,103.0,99.0
2020-03-04,107.0,100.0,105.0,115.0,102.0,102.0
2020-03-05,108.0,100.0,105.0,114.0,102.0,103.0
2020-03-06,107.0,99.0,105.0,114.0,102.0,100.0
2020-03-07,104.0,99.0,107.0,127.0,102.0,103.0
2020-03-08,106.0,100.0,101.0,96.0,101.0,99.0
2020-03-09,111.0,101.0,100.0,121.0,102.0,100.0
2020-03-10,117.0,100.0,100.0,120.0,101.0,100.0
2020-03-11,126.0,101.0,99.0,129.0,100.0,99.0
2020-03-12,128.0,104.0,89.0,110.0,96.0,91.0
2020-03-13,123.0,109.0,76.0,90.0,89.0,73.0
2020-03-14,90.0,113.0,67.0,69.0,85.0,53.0
2020-03-15,67.0,115.0,54.0,42.0,77.0,38.0
2020-03-16,84.0,122.0,49.0,60.0,59.0,50.0
2020-03-17,80.0,124.0,44.0,56.0,52.0,46.0
2020-03-18,81.0,124.0,43.0,62.0,49.0,45.0
2020-03-19,64.0,130.0,32.0,47.0,43.0,33.0
2020-03-20,58.0,136.0,27.0,30.0,40.0,23.0
2020-03-21,52.0,126.0,29.0,29.0,45.0,19.0
2020-03-22,42.0,122.0,26.0,28.0,49.0,17.0
2020-03-23,58.0,132.0,26.0,41.0,38.0,26.0
2020-03-24,60.0,133.0,26.0,40.0,37.0,27.0
2020-03-25,58.0,132.0,26.0,41.0,37.0,26.0
2020-03-26,58.0,133.0,25.0,40.0,36.0,26.0
2020-03-27,61.0,136.0,25.0,37.0,37.0,25.0
2020-03-28,53.0,125.0,26.0,28.0,45.0,21.0
2020-03-29,41.0,122.0,22.0,20.0,47.0,17.0
