dates,Russia.Google_GroceryMobility.data,Russia.Google_ResidentialMobility.data,Russia.Google_TransitStationsMobility.data,Russia.Google_ParksMobility.data,Russia.Google_WorkplacesMobility.data,Russia.Google_RetailMobility.data
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-21,,,,,,
2020-03-22,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-28,,,,,,
2020-03-29,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-04,,,,,,
2020-04-05,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-09,,,,,,
2020-04-10,,,,,,
2020-04-11,,,,,,
2020-04-12,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-18,,,,,,
2020-04-19,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-25,,,,,,
2020-04-26,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-01,,,,,,
2020-05-02,,,,,,
2020-05-03,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-09,,,,,,
2020-05-10,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-16,,,,,,
2020-05-17,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-23,,,,,,
2020-05-24,,,,,,
2020-05-25,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-05-30,95.0,99.0,78.0,121.0,84.0,70.0
2020-05-31,93.0,97.0,73.0,111.0,99.0,68.0
2020-06-01,102.0,105.0,75.0,115.0,73.0,84.0
2020-06-02,101.0,106.0,76.0,118.0,73.0,83.0
2020-06-03,100.0,105.0,77.0,121.0,73.0,82.0
2020-06-04,101.0,105.0,76.0,120.0,73.0,82.0
2020-06-05,102.0,105.0,78.0,122.0,73.0,82.0
2020-06-06,99.0,98.0,84.0,129.0,86.0,76.0
2020-06-07,104.0,94.0,90.0,156.0,102.0,80.0
2020-06-08,105.0,103.0,82.0,150.0,74.0,88.0
2020-06-09,105.0,102.0,84.0,150.0,75.0,88.0
2020-06-10,108.0,102.0,85.0,149.0,75.0,90.0
2020-06-11,118.0,100.0,91.0,163.0,74.0,97.0
2020-06-12,101.0,107.0,72.0,161.0,41.0,82.0
2020-06-13,94.0,98.0,80.0,138.0,83.0,74.0
2020-06-14,104.0,93.0,93.0,157.0,107.0,82.0
2020-06-15,111.0,101.0,89.0,157.0,76.0,95.0
2020-06-16,112.0,101.0,91.0,164.0,76.0,95.0
2020-06-17,110.0,101.0,90.0,164.0,76.0,93.0
2020-06-18,108.0,101.0,89.0,161.0,75.0,91.0
2020-06-19,106.0,101.0,88.0,151.0,75.0,88.0
2020-06-20,100.0,96.0,90.0,143.0,90.0,80.0
2020-06-21,104.0,94.0,94.0,151.0,108.0,83.0
2020-06-22,108.0,102.0,90.0,156.0,74.0,94.0
2020-06-23,112.0,100.0,94.0,167.0,75.0,97.0
2020-06-24,106.0,107.0,82.0,190.0,47.0,93.0
2020-06-25,107.0,101.0,90.0,155.0,75.0,93.0
2020-06-26,106.0,100.0,91.0,158.0,74.0,91.0
2020-06-27,99.0,95.0,94.0,161.0,90.0,82.0
2020-06-28,103.0,93.0,97.0,159.0,109.0,85.0
2020-06-29,107.0,101.0,92.0,155.0,76.0,96.0
2020-06-30,112.0,100.0,96.0,161.0,76.0,99.0
2020-07-01,114.0,106.0,86.0,177.0,46.0,102.0
2020-07-02,110.0,100.0,94.0,162.0,75.0,98.0
2020-07-03,108.0,99.0,94.0,164.0,74.0,94.0
2020-07-04,102.0,94.0,96.0,165.0,88.0,86.0
2020-07-05,106.0,91.0,101.0,173.0,105.0,88.0
2020-07-06,111.0,99.0,96.0,179.0,74.0,100.0
2020-07-07,111.0,99.0,97.0,180.0,73.0,99.0
2020-07-08,108.0,99.0,94.0,171.0,74.0,97.0
2020-07-09,111.0,99.0,95.0,173.0,74.0,99.0
2020-07-10,110.0,98.0,96.0,169.0,73.0,97.0
2020-07-11,103.0,93.0,98.0,171.0,88.0,88.0
2020-07-12,107.0,90.0,105.0,189.0,105.0,91.0
2020-07-13,110.0,99.0,95.0,170.0,73.0,100.0
2020-07-14,109.0,100.0,95.0,170.0,72.0,99.0
2020-07-15,113.0,99.0,96.0,171.0,74.0,102.0
2020-07-16,112.0,99.0,96.0,172.0,73.0,102.0
2020-07-17,109.0,99.0,95.0,173.0,72.0,97.0
2020-07-18,101.0,93.0,99.0,176.0,87.0,89.0
2020-07-19,106.0,90.0,105.0,187.0,105.0,92.0
2020-07-20,110.0,99.0,95.0,176.0,72.0,101.0
2020-07-21,109.0,100.0,96.0,172.0,72.0,101.0
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-25,,,,,,
2020-07-26,,,,,,
2020-07-27,,,,,,
2020-07-28,102.76923076923077,100.8,98.26666666666667,173.58823529411765,69.11111111111111,94.92857142857143
2020-07-29,103.5,100.5,100.38461538461539,173.85714285714286,68.18181818181819,95.0625
2020-07-30,105.0,100.0,100.4,175.8125,68.08333333333333,98.41666666666667
2020-07-31,100.78571428571429,101.0,97.4,155.73333333333332,62.0,93.81818181818181
2020-08-01,92.08333333333333,95.28571428571429,98.875,150.8235294117647,76.0,82.0
2020-08-02,98.3076923076923,89.25,109.28571428571429,170.3125,94.58333333333333,88.0
2020-08-03,102.71428571428571,100.0,99.07692307692308,182.86666666666667,67.58333333333333,96.91666666666667
2020-08-04,102.0,100.5,99.28571428571429,168.2941176470588,67.16666666666667,94.85714285714286
2020-08-05,105.58333333333333,99.0,102.25,191.375,67.9090909090909,96.84615384615384
2020-08-06,104.21428571428571,99.0,101.57142857142857,198.1764705882353,67.8,97.7
2020-08-07,101.63636363636364,98.5,100.0,173.6875,67.25,92.33333333333333
2020-08-08,92.2,93.83333333333333,101.42857142857143,165.41176470588235,77.76923076923077,84.54545454545455
2020-08-09,96.07692307692308,90.0,105.76923076923077,159.86666666666667,92.5,84.57142857142857
2020-08-10,104.21428571428571,101.28571428571429,100.0,166.94117647058823,67.07692307692308,98.9090909090909
2020-08-11,106.33333333333333,100.28571428571429,100.9090909090909,163.1764705882353,67.25,100.0
2020-08-12,104.25,99.8,101.6,171.3125,67.72727272727273,99.15384615384616
2020-08-13,104.28571428571429,100.5,99.4,161.78571428571428,67.27272727272727,99.0
2020-08-14,104.66666666666667,100.0,101.05882352941177,148.94117647058823,67.91666666666667,96.35714285714286
2020-08-15,99.27272727272727,95.0,107.4,152.1764705882353,77.35714285714286,93.53846153846153
2020-08-16,103.53846153846153,91.375,113.5,156.2941176470588,93.83333333333333,95.07142857142857
2020-08-17,106.07692307692308,100.83333333333333,102.3076923076923,168.625,67.33333333333333,102.33333333333333
2020-08-18,106.0,100.83333333333333,101.76923076923077,160.94117647058823,68.78571428571429,101.3076923076923
2020-08-19,105.07692307692308,100.83333333333333,101.07142857142857,161.75,68.83333333333333,100.92307692307692
2020-08-20,107.08333333333333,100.5,101.66666666666667,169.6875,67.75,103.84615384615384
2020-08-21,105.25,99.66666666666667,103.14285714285714,165.1875,67.54545454545455,99.64285714285714
2020-08-22,96.9090909090909,94.0,104.46153846153847,157.94117647058823,77.91666666666667,92.92307692307692
2020-08-23,104.23076923076923,89.88888888888889,111.46153846153847,170.25,95.0909090909091,95.6923076923077
2020-08-24,107.41666666666667,99.5,104.57142857142857,189.2941176470588,69.45454545454545,104.66666666666667
2020-08-25,110.46153846153847,99.5,106.9090909090909,185.64705882352942,69.18181818181819,106.36363636363636
2020-08-26,110.41666666666667,99.5,104.84615384615384,186.875,69.66666666666667,107.83333333333333
2020-08-27,111.6923076923077,99.66666666666667,105.57142857142857,196.76470588235293,69.5,108.57142857142857
2020-08-28,110.92307692307692,99.0,106.73333333333333,184.5625,68.81818181818181,105.92307692307692
2020-08-29,104.0,93.375,107.33333333333333,185.0,76.25,99.35714285714286
2020-08-30,112.91666666666667,88.55555555555556,118.875,191.1764705882353,93.1,106.84615384615384
2020-08-31,124.0,98.0,109.0,196.0,74.0,123.0
2020-09-01,123.0,98.0,108.0,207.0,72.0,123.0
2020-09-02,114.0,98.0,103.0,178.0,74.0,109.0
2020-09-03,114.0,98.0,102.0,185.0,74.0,110.0
2020-09-04,111.0,97.0,101.0,176.0,73.0,107.0
2020-09-05,107.0,95.0,103.0,182.0,82.0,103.0
2020-09-06,113.0,93.0,109.0,191.0,97.0,106.0
2020-09-07,114.0,98.0,102.0,185.0,73.0,111.0
