dates,Singapore.Google_GroceryMobility.data,Singapore.Google_ResidentialMobility.data,Singapore.Google_TransitStationsMobility.data,Singapore.Google_ParksMobility.data,Singapore.Google_WorkplacesMobility.data,Singapore.Google_RetailMobility.data
2020-02-15,91.0,108.0,83.0,90.0,96.0,86.0
2020-02-16,83.0,108.0,78.0,82.0,93.0,81.0
2020-02-17,94.0,107.0,86.0,93.0,96.0,88.0
2020-02-18,91.0,107.0,85.0,93.0,95.0,87.0
2020-02-19,86.0,108.0,85.0,94.0,95.0,86.0
2020-02-20,87.0,107.0,88.0,90.0,95.0,86.0
2020-02-21,88.0,108.0,88.0,86.0,100.0,89.0
2020-02-22,91.0,106.0,84.0,95.0,97.0,89.0
2020-02-23,88.0,106.0,81.0,97.0,95.0,86.0
2020-02-24,92.0,107.0,86.0,88.0,97.0,88.0
2020-02-25,94.0,106.0,87.0,98.0,97.0,90.0
2020-02-26,87.0,107.0,86.0,96.0,96.0,88.0
2020-02-27,91.0,106.0,91.0,95.0,96.0,88.0
2020-02-28,90.0,107.0,89.0,92.0,101.0,92.0
2020-02-29,93.0,105.0,87.0,98.0,100.0,92.0
2020-03-01,91.0,105.0,84.0,99.0,97.0,89.0
2020-03-02,95.0,106.0,88.0,93.0,98.0,92.0
2020-03-03,95.0,106.0,87.0,97.0,99.0,92.0
2020-03-04,88.0,106.0,88.0,93.0,98.0,89.0
2020-03-05,89.0,106.0,91.0,87.0,98.0,88.0
2020-03-06,91.0,107.0,90.0,92.0,103.0,92.0
2020-03-07,92.0,106.0,85.0,84.0,100.0,90.0
2020-03-08,90.0,105.0,84.0,93.0,98.0,89.0
2020-03-09,93.0,106.0,86.0,91.0,99.0,89.0
2020-03-10,93.0,106.0,87.0,96.0,99.0,89.0
2020-03-11,88.0,107.0,87.0,91.0,98.0,87.0
2020-03-12,91.0,106.0,91.0,92.0,98.0,87.0
2020-03-13,90.0,108.0,88.0,91.0,101.0,90.0
2020-03-14,92.0,106.0,85.0,99.0,100.0,89.0
2020-03-15,90.0,106.0,82.0,104.0,97.0,86.0
2020-03-16,98.0,109.0,84.0,101.0,89.0,90.0
2020-03-17,116.0,109.0,84.0,102.0,88.0,92.0
2020-03-18,98.0,111.0,81.0,97.0,86.0,89.0
2020-03-19,99.0,112.0,81.0,98.0,84.0,87.0
2020-03-20,94.0,115.0,79.0,94.0,87.0,89.0
2020-03-21,96.0,111.0,77.0,85.0,97.0,87.0
2020-03-22,92.0,111.0,69.0,82.0,92.0,82.0
2020-03-23,97.0,112.0,76.0,77.0,89.0,84.0
2020-03-24,103.0,112.0,77.0,91.0,87.0,87.0
2020-03-25,99.0,114.0,75.0,87.0,85.0,84.0
2020-03-26,104.0,114.0,75.0,85.0,84.0,82.0
2020-03-27,99.0,118.0,73.0,76.0,86.0,80.0
2020-03-28,103.0,115.0,67.0,85.0,92.0,77.0
2020-03-29,94.0,115.0,60.0,88.0,85.0,72.0
2020-03-30,99.0,116.0,71.0,84.0,82.0,79.0
2020-03-31,101.0,115.0,71.0,90.0,82.0,80.0
2020-04-01,91.0,118.0,69.0,85.0,78.0,77.0
2020-04-02,95.0,119.0,67.0,78.0,73.0,75.0
2020-04-03,118.0,121.0,68.0,71.0,80.0,79.0
2020-04-04,108.0,115.0,64.0,73.0,93.0,76.0
2020-04-05,99.0,114.0,60.0,73.0,90.0,77.0
2020-04-06,112.0,116.0,68.0,74.0,76.0,85.0
2020-04-07,94.0,132.0,46.0,63.0,48.0,49.0
2020-04-08,79.0,139.0,37.0,54.0,37.0,41.0
2020-04-09,88.0,138.0,37.0,63.0,36.0,43.0
2020-04-10,87.0,153.0,25.0,56.0,17.0,37.0
2020-04-11,79.0,132.0,34.0,49.0,49.0,39.0
2020-04-12,69.0,127.0,30.0,43.0,51.0,36.0
2020-04-13,79.0,140.0,34.0,47.0,36.0,40.0
2020-04-14,86.0,140.0,35.0,52.0,35.0,42.0
2020-04-15,78.0,142.0,34.0,48.0,34.0,40.0
2020-04-16,81.0,142.0,34.0,48.0,34.0,39.0
2020-04-17,83.0,147.0,35.0,43.0,35.0,40.0
2020-04-18,78.0,132.0,34.0,38.0,49.0,35.0
2020-04-19,72.0,127.0,31.0,39.0,51.0,34.0
2020-04-20,80.0,141.0,32.0,43.0,34.0,35.0
2020-04-21,80.0,142.0,31.0,40.0,33.0,36.0
2020-04-22,75.0,144.0,31.0,36.0,32.0,34.0
2020-04-23,74.0,144.0,30.0,34.0,31.0,32.0
2020-04-24,71.0,149.0,29.0,27.0,33.0,30.0
2020-04-25,73.0,134.0,30.0,29.0,45.0,32.0
2020-04-26,65.0,128.0,28.0,28.0,48.0,30.0
2020-04-27,76.0,143.0,30.0,35.0,32.0,33.0
2020-04-28,78.0,142.0,31.0,37.0,32.0,34.0
2020-04-29,71.0,143.0,31.0,37.0,31.0,33.0
2020-04-30,76.0,143.0,33.0,30.0,31.0,33.0
2020-05-01,83.0,155.0,26.0,27.0,17.0,32.0
