dates,SouthAfrica.Google_GroceryMobility.data,SouthAfrica.Google_ResidentialMobility.data,SouthAfrica.Google_TransitStationsMobility.data,SouthAfrica.Google_ParksMobility.data,SouthAfrica.Google_WorkplacesMobility.data,SouthAfrica.Google_RetailMobility.data
2020-02-15,100.0,98.0,98.0,98.0,101.0,104.0
2020-02-16,99.0,100.0,94.0,90.0,99.0,97.0
2020-02-17,90.0,101.0,103.0,90.0,104.0,90.0
2020-02-18,88.0,101.0,100.0,92.0,104.0,88.0
2020-02-19,88.0,101.0,98.0,93.0,103.0,88.0
2020-02-20,94.0,99.0,101.0,94.0,103.0,95.0
2020-02-21,94.0,97.0,104.0,96.0,103.0,97.0
2020-02-22,92.0,100.0,92.0,82.0,102.0,96.0
2020-02-23,94.0,103.0,88.0,79.0,99.0,91.0
2020-02-24,87.0,101.0,98.0,90.0,105.0,89.0
2020-02-25,99.0,99.0,102.0,95.0,105.0,99.0
2020-02-26,99.0,99.0,104.0,96.0,105.0,101.0
2020-02-27,105.0,99.0,106.0,94.0,105.0,106.0
2020-02-28,111.0,98.0,117.0,94.0,104.0,112.0
2020-02-29,114.0,98.0,108.0,92.0,105.0,120.0
2020-03-01,121.0,99.0,109.0,97.0,107.0,118.0
2020-03-02,105.0,101.0,110.0,93.0,107.0,104.0
2020-03-03,105.0,99.0,111.0,99.0,109.0,102.0
2020-03-04,105.0,100.0,109.0,99.0,108.0,103.0
2020-03-05,107.0,100.0,109.0,99.0,108.0,104.0
2020-03-06,108.0,99.0,113.0,101.0,108.0,107.0
2020-03-07,106.0,100.0,102.0,97.0,106.0,108.0
2020-03-08,103.0,102.0,95.0,88.0,103.0,99.0
2020-03-09,93.0,101.0,101.0,89.0,106.0,92.0
2020-03-10,92.0,99.0,100.0,91.0,105.0,91.0
2020-03-11,92.0,98.0,98.0,93.0,104.0,91.0
2020-03-12,95.0,98.0,96.0,94.0,103.0,94.0
2020-03-13,102.0,96.0,99.0,95.0,103.0,101.0
2020-03-14,101.0,99.0,92.0,90.0,104.0,102.0
2020-03-15,100.0,102.0,86.0,82.0,102.0,94.0
2020-03-16,101.0,103.0,89.0,82.0,102.0,90.0
2020-03-17,96.0,105.0,86.0,84.0,97.0,85.0
2020-03-18,96.0,107.0,84.0,88.0,92.0,86.0
2020-03-19,95.0,109.0,80.0,90.0,86.0,84.0
2020-03-20,101.0,109.0,81.0,86.0,85.0,86.0
2020-03-21,94.0,108.0,74.0,79.0,82.0,76.0
2020-03-22,90.0,109.0,64.0,77.0,89.0,69.0
2020-03-23,96.0,111.0,67.0,85.0,79.0,80.0
2020-03-24,118.0,109.0,72.0,84.0,78.0,93.0
2020-03-25,134.0,107.0,81.0,87.0,76.0,109.0
2020-03-26,159.0,106.0,74.0,91.0,68.0,116.0
2020-03-27,39.0,140.0,19.0,53.0,25.0,20.0
2020-03-28,40.0,128.0,21.0,41.0,42.0,20.0
2020-03-29,40.0,124.0,20.0,45.0,51.0,21.0
2020-03-30,49.0,136.0,21.0,58.0,26.0,27.0
2020-03-31,53.0,135.0,22.0,60.0,26.0,28.0
2020-04-01,58.0,135.0,23.0,62.0,27.0,30.0
2020-04-02,59.0,137.0,22.0,62.0,27.0,30.0
2020-04-03,58.0,138.0,22.0,57.0,27.0,28.0
2020-04-04,48.0,127.0,23.0,43.0,45.0,23.0
2020-04-05,49.0,122.0,22.0,47.0,56.0,24.0
2020-04-06,52.0,137.0,21.0,59.0,27.0,28.0
2020-04-07,54.0,136.0,22.0,59.0,27.0,27.0
