dates,Spain.Google_GroceryMobility.data,Spain.Google_ResidentialMobility.data,Spain.Google_TransitStationsMobility.data,Spain.Google_ParksMobility.data,Spain.Google_WorkplacesMobility.data,Spain.Google_RetailMobility.data
2020-02-15,99.0,98.0,108.0,126.0,100.0,102.0
2020-02-16,103.0,98.0,105.0,113.0,99.0,102.0
2020-02-17,101.0,99.0,103.0,109.0,103.0,100.0
2020-02-18,100.0,100.0,104.0,105.0,103.0,98.0
2020-02-19,101.0,99.0,102.0,111.0,103.0,100.0
2020-02-20,101.0,99.0,105.0,115.0,103.0,101.0
2020-02-21,102.0,98.0,106.0,120.0,102.0,101.0
2020-02-22,102.0,98.0,114.0,144.0,102.0,102.0
2020-02-23,110.0,97.0,111.0,133.0,101.0,107.0
2020-02-24,103.0,100.0,104.0,136.0,93.0,105.0
2020-02-25,99.0,101.0,103.0,117.0,94.0,98.0
2020-02-26,104.0,100.0,101.0,111.0,100.0,100.0
2020-02-27,108.0,98.0,106.0,116.0,101.0,104.0
2020-02-28,93.0,100.0,102.0,133.0,89.0,99.0
2020-02-29,104.0,99.0,106.0,119.0,99.0,99.0
2020-03-01,106.0,98.0,105.0,106.0,101.0,102.0
2020-03-02,101.0,101.0,97.0,93.0,97.0,97.0
2020-03-03,103.0,100.0,101.0,97.0,103.0,97.0
2020-03-04,104.0,100.0,102.0,109.0,103.0,100.0
2020-03-05,102.0,100.0,100.0,102.0,102.0,99.0
2020-03-06,102.0,100.0,100.0,100.0,99.0,98.0
2020-03-07,101.0,99.0,104.0,117.0,101.0,99.0
2020-03-08,107.0,98.0,108.0,119.0,101.0,104.0
2020-03-09,104.0,99.0,100.0,112.0,103.0,99.0
2020-03-10,118.0,100.0,99.0,112.0,102.0,97.0
2020-03-11,117.0,101.0,91.0,117.0,98.0,95.0
2020-03-12,127.0,103.0,84.0,101.0,95.0,87.0
2020-03-13,133.0,108.0,68.0,78.0,83.0,67.0
2020-03-14,92.0,114.0,48.0,56.0,69.0,31.0
