dates,Sweden.Google_GroceryMobility.data,Sweden.Google_ResidentialMobility.data,Sweden.Google_TransitStationsMobility.data,Sweden.Google_ParksMobility.data,Sweden.Google_WorkplacesMobility.data,Sweden.Google_RetailMobility.data
2020-02-15,100.0,100.0,104.0,103.0,98.0,102.0
2020-02-16,93.0,102.0,89.0,70.0,95.0,90.0
2020-02-17,97.0,102.0,94.0,97.0,94.0,96.0
2020-02-18,100.0,101.0,96.0,113.0,95.0,100.0
2020-02-19,101.0,101.0,97.0,126.0,95.0,103.0
2020-02-20,101.0,101.0,94.0,99.0,94.0,101.0
2020-02-21,100.0,101.0,98.0,122.0,93.0,105.0
2020-02-22,99.0,101.0,98.0,90.0,97.0,100.0
2020-02-23,100.0,100.0,100.0,123.0,99.0,102.0
2020-02-24,100.0,101.0,97.0,124.0,96.0,102.0
2020-02-25,109.0,101.0,97.0,108.0,96.0,108.0
2020-02-26,102.0,101.0,95.0,104.0,96.0,105.0
2020-02-27,104.0,101.0,98.0,110.0,95.0,107.0
2020-02-28,102.0,101.0,99.0,116.0,94.0,107.0
2020-02-29,104.0,100.0,105.0,108.0,100.0,108.0
2020-03-01,98.0,101.0,94.0,93.0,98.0,99.0
2020-03-02,102.0,101.0,97.0,110.0,98.0,101.0
2020-03-03,102.0,101.0,96.0,105.0,98.0,100.0
2020-03-04,99.0,101.0,95.0,98.0,98.0,98.0
2020-03-05,103.0,101.0,96.0,108.0,98.0,100.0
2020-03-06,101.0,101.0,99.0,124.0,98.0,102.0
2020-03-07,104.0,100.0,106.0,136.0,100.0,105.0
2020-03-08,98.0,101.0,94.0,100.0,99.0,101.0
2020-03-09,100.0,101.0,95.0,108.0,100.0,98.0
2020-03-10,101.0,101.0,94.0,103.0,100.0,96.0
2020-03-11,104.0,102.0,93.0,110.0,99.0,96.0
2020-03-12,111.0,104.0,84.0,83.0,96.0,88.0
2020-03-13,108.0,106.0,81.0,96.0,90.0,87.0
2020-03-14,109.0,103.0,87.0,159.0,94.0,83.0
2020-03-15,98.0,105.0,70.0,85.0,90.0,75.0
2020-03-16,103.0,108.0,75.0,111.0,83.0,81.0
2020-03-17,100.0,109.0,68.0,102.0,79.0,76.0
2020-03-18,97.0,111.0,63.0,101.0,73.0,74.0
2020-03-19,98.0,111.0,65.0,140.0,72.0,78.0
2020-03-20,95.0,112.0,63.0,111.0,72.0,76.0
2020-03-21,95.0,106.0,72.0,166.0,87.0,74.0
2020-03-22,91.0,105.0,67.0,157.0,85.0,74.0
2020-03-23,92.0,111.0,62.0,108.0,73.0,75.0
2020-03-24,93.0,111.0,63.0,122.0,72.0,75.0
2020-03-25,101.0,111.0,64.0,125.0,72.0,81.0
2020-03-26,98.0,111.0,65.0,148.0,72.0,82.0
2020-03-27,95.0,111.0,65.0,143.0,71.0,81.0
2020-03-28,96.0,106.0,71.0,152.0,85.0,76.0
2020-03-29,90.0,105.0,64.0,143.0,82.0,76.0
2020-03-30,90.0,111.0,61.0,108.0,71.0,78.0
