dates,Switzerland.Google_GroceryMobility.data,Switzerland.Google_ResidentialMobility.data,Switzerland.Google_TransitStationsMobility.data,Switzerland.Google_ParksMobility.data,Switzerland.Google_WorkplacesMobility.data,Switzerland.Google_RetailMobility.data
2020-02-15,99.0,99.0,106.0,131.0,98.0,99.0
2020-02-16,112.0,99.0,108.0,130.0,98.0,110.0
2020-02-17,96.0,101.0,98.0,97.0,99.0,97.0
2020-02-18,101.0,101.0,103.0,134.0,98.0,103.0
2020-02-19,96.0,101.0,96.0,89.0,97.0,96.0
2020-02-20,99.0,100.0,105.0,146.0,95.0,102.0
2020-02-21,99.0,101.0,101.0,126.0,94.0,99.0
2020-02-22,100.0,98.0,114.0,157.0,99.0,101.0
2020-02-23,118.0,99.0,113.0,127.0,100.0,114.0
2020-02-24,103.0,100.0,107.0,174.0,97.0,106.0
2020-02-25,106.0,101.0,103.0,117.0,96.0,104.0
2020-02-26,100.0,102.0,95.0,80.0,96.0,95.0
2020-02-27,101.0,102.0,95.0,78.0,95.0,95.0
2020-02-28,108.0,102.0,99.0,116.0,96.0,99.0
2020-02-29,104.0,102.0,93.0,86.0,98.0,94.0
2020-03-01,108.0,101.0,102.0,129.0,99.0,103.0
2020-03-02,99.0,103.0,93.0,76.0,99.0,93.0
2020-03-03,104.0,102.0,97.0,107.0,100.0,99.0
2020-03-04,101.0,101.0,98.0,108.0,99.0,97.0
2020-03-05,96.0,103.0,89.0,64.0,98.0,89.0
2020-03-06,101.0,103.0,92.0,88.0,98.0,94.0
2020-03-07,102.0,103.0,91.0,97.0,98.0,96.0
2020-03-08,107.0,100.0,103.0,147.0,97.0,106.0
2020-03-09,99.0,103.0,92.0,83.0,100.0,92.0
2020-03-10,99.0,104.0,90.0,74.0,99.0,90.0
2020-03-11,102.0,103.0,94.0,110.0,98.0,93.0
2020-03-12,108.0,104.0,89.0,99.0,96.0,89.0
2020-03-13,124.0,105.0,85.0,101.0,94.0,87.0
2020-03-14,112.0,108.0,74.0,94.0,93.0,75.0
2020-03-15,102.0,105.0,84.0,166.0,87.0,73.0
2020-03-16,124.0,110.0,70.0,114.0,80.0,83.0
2020-03-17,101.0,117.0,58.0,121.0,67.0,43.0
2020-03-18,96.0,118.0,55.0,122.0,62.0,38.0
2020-03-19,90.0,121.0,49.0,119.0,54.0,35.0
2020-03-20,96.0,124.0,44.0,89.0,55.0,33.0
2020-03-21,74.0,119.0,38.0,71.0,57.0,22.0
2020-03-22,51.0,115.0,34.0,60.0,55.0,18.0
2020-03-23,80.0,122.0,41.0,81.0,54.0,32.0
2020-03-24,81.0,124.0,42.0,95.0,51.0,31.0
2020-03-25,81.0,123.0,41.0,80.0,51.0,30.0
2020-03-26,82.0,124.0,39.0,77.0,50.0,30.0
2020-03-27,87.0,126.0,42.0,97.0,51.0,31.0
2020-03-28,81.0,117.0,47.0,118.0,57.0,27.0
2020-03-29,49.0,115.0,32.0,59.0,54.0,19.0
2020-03-30,78.0,123.0,38.0,54.0,52.0,29.0
2020-03-31,98.0,123.0,47.0,101.0,51.0,16.0
2020-04-01,95.0,122.0,48.0,107.0,52.0,16.0
2020-04-02,97.0,123.0,47.0,108.0,50.0,16.0
2020-04-03,102.0,125.0,46.0,108.0,52.0,21.0
2020-04-04,95.0,117.0,49.0,115.0,58.0,18.0
2020-04-05,75.0,112.0,52.0,142.0,58.0,24.0
2020-04-06,95.0,121.0,49.0,121.0,53.0,24.0
2020-04-07,101.0,121.0,50.0,142.0,52.0,28.0
2020-04-08,109.0,120.0,49.0,126.0,52.0,28.0
2020-04-09,125.0,121.0,50.0,122.0,50.0,30.0
2020-04-10,25.0,134.0,39.0,175.0,15.0,13.0
2020-04-11,111.0,115.0,53.0,127.0,59.0,23.0
2020-04-12,70.0,111.0,51.0,133.0,61.0,22.0
2020-04-13,20.0,130.0,39.0,183.0,15.0,14.0
2020-04-14,96.0,121.0,48.0,111.0,53.0,27.0
2020-04-15,86.0,120.0,51.0,130.0,54.0,26.0
2020-04-16,86.0,121.0,49.0,130.0,53.0,28.0
2020-04-17,90.0,122.0,50.0,139.0,54.0,28.0
2020-04-18,86.0,115.0,54.0,133.0,64.0,24.0
2020-04-19,79.0,111.0,54.0,136.0,64.0,26.0
2020-04-20,79.0,120.0,49.0,115.0,57.0,30.0
2020-04-21,85.0,120.0,50.0,117.0,57.0,29.0
2020-04-22,84.0,119.0,54.0,146.0,58.0,30.0
2020-04-23,88.0,119.0,53.0,144.0,57.0,30.0
2020-04-24,96.0,121.0,54.0,140.0,58.0,30.0
2020-04-25,90.0,114.0,56.0,127.0,66.0,26.0
2020-04-26,80.0,111.0,53.0,119.0,66.0,27.0
2020-04-27,93.0,116.0,60.0,129.0,63.0,41.0
2020-04-28,93.0,118.0,53.0,75.0,61.0,36.0
2020-04-29,94.0,118.0,57.0,96.0,62.0,36.0
2020-04-30,99.0,119.0,51.0,58.0,60.0,38.0
2020-05-01,70.0,127.0,44.0,75.0,43.0,29.0
2020-05-02,98.0,115.0,52.0,66.0,69.0,34.0
2020-05-03,,109.0,62.0,141.0,70.0,32.0
2020-05-04,91.0,115.0,62.0,142.0,65.0,45.0
2020-05-05,92.0,118.0,54.0,81.0,64.0,40.0
2020-05-06,95.0,116.0,61.0,119.0,65.0,41.0
2020-05-07,98.0,115.0,62.0,156.0,64.0,47.0
2020-05-08,102.0,116.0,62.0,158.0,66.0,46.0
2020-05-09,102.0,109.0,68.0,167.0,79.0,44.0
2020-05-10,91.0,107.0,67.0,143.0,81.0,39.0
2020-05-11,94.0,114.0,62.0,71.0,73.0,65.0
2020-05-12,101.0,114.0,67.0,103.0,73.0,67.0
2020-05-13,95.0,114.0,62.0,69.0,72.0,61.0
2020-05-14,101.0,113.0,64.0,85.0,71.0,64.0
2020-05-15,102.0,114.0,65.0,89.0,73.0,65.0
2020-05-16,102.0,109.0,73.0,127.0,88.0,67.0
2020-05-17,99.0,105.0,79.0,200.0,86.0,63.0
2020-05-18,100.0,111.0,72.0,156.0,75.0,74.0
2020-05-19,108.0,111.0,75.0,169.0,74.0,75.0
2020-05-20,125.0,108.0,79.0,113.0,73.0,84.0
2020-05-21,29.0,120.0,69.0,245.0,19.0,42.0
2020-05-22,118.0,115.0,71.0,154.0,47.0,82.0
2020-05-23,94.0,111.0,60.0,61.0,85.0,65.0
2020-05-24,96.0,104.0,82.0,132.0,90.0,68.0
2020-05-25,103.0,110.0,74.0,97.0,75.0,83.0
2020-05-26,106.0,110.0,77.0,110.0,76.0,83.0
2020-05-27,104.0,109.0,78.0,109.0,76.0,81.0
2020-05-28,108.0,110.0,75.0,95.0,75.0,80.0
2020-05-29,112.0,109.0,77.0,108.0,76.0,81.0
2020-05-30,110.0,104.0,84.0,121.0,98.0,80.0
2020-05-31,114.0,101.0,97.0,182.0,96.0,81.0
2020-06-01,35.0,117.0,71.0,245.0,23.0,52.0
2020-06-02,117.0,107.0,81.0,118.0,79.0,85.0
2020-06-03,105.0,109.0,77.0,88.0,78.0,79.0
2020-06-04,102.0,111.0,68.0,49.0,77.0,76.0
2020-06-05,105.0,111.0,71.0,75.0,79.0,80.0
2020-06-06,103.0,106.0,73.0,79.0,97.0,83.0
2020-06-07,79.0,108.0,60.0,59.0,89.0,58.0
2020-06-08,98.0,108.0,76.0,88.0,81.0,84.0
2020-06-09,101.0,109.0,76.0,85.0,79.0,84.0
2020-06-10,104.0,108.0,76.0,77.0,79.0,85.0
2020-06-11,86.0,111.0,75.0,124.0,63.0,79.0
2020-06-12,106.0,107.0,83.0,171.0,74.0,87.0
2020-06-13,100.0,105.0,78.0,114.0,97.0,80.0
2020-06-14,88.0,105.0,68.0,88.0,95.0,69.0
2020-06-15,99.0,107.0,79.0,109.0,81.0,86.0
2020-06-16,102.0,106.0,83.0,129.0,81.0,88.0
2020-06-17,98.0,108.0,77.0,82.0,79.0,83.0
2020-06-18,100.0,106.0,80.0,112.0,79.0,85.0
2020-06-19,101.0,106.0,79.0,114.0,79.0,85.0
2020-06-20,98.0,101.0,87.0,149.0,99.0,84.0
2020-06-21,104.0,99.0,92.0,179.0,99.0,87.0
2020-06-22,99.0,105.0,83.0,152.0,79.0,88.0
2020-06-23,101.0,104.0,89.0,195.0,78.0,90.0
2020-06-24,101.0,103.0,88.0,178.0,80.0,88.0
2020-06-25,107.0,103.0,88.0,167.0,80.0,91.0
2020-06-26,106.0,104.0,86.0,150.0,80.0,89.0
2020-06-27,101.0,99.0,92.0,163.0,98.0,87.0
2020-06-28,99.0,101.0,86.0,141.0,99.0,83.0
2020-06-29,101.0,105.0,83.0,130.0,80.0,92.0
2020-06-30,105.0,103.0,92.0,212.0,82.0,97.0
2020-07-01,103.0,103.0,87.0,155.0,82.0,91.0
2020-07-02,106.0,105.0,84.0,130.0,81.0,92.0
2020-07-03,106.0,105.0,85.0,145.0,80.0,92.0
2020-07-04,100.0,99.0,94.0,196.0,98.0,86.0
2020-07-05,111.0,97.0,100.0,224.0,98.0,92.0
2020-07-06,102.0,105.0,83.0,169.0,76.0,95.0
2020-07-07,106.0,103.0,90.0,228.0,76.0,97.0
2020-07-08,100.0,102.0,88.0,212.0,77.0,91.0
2020-07-09,103.0,103.0,86.0,207.0,75.0,90.0
