dates,Thailand.Google_GroceryMobility.data,Thailand.Google_ResidentialMobility.data,Thailand.Google_TransitStationsMobility.data,Thailand.Google_ParksMobility.data,Thailand.Google_WorkplacesMobility.data,Thailand.Google_RetailMobility.data
2020-02-15,101.0,101.0,98.0,92.0,107.0,97.0
2020-02-16,102.0,102.0,96.0,95.0,102.0,97.0
2020-02-17,101.0,101.0,96.0,97.0,102.0,97.0
2020-02-18,100.0,102.0,94.0,95.0,100.0,97.0
2020-02-19,97.0,101.0,94.0,97.0,100.0,96.0
2020-02-20,98.0,101.0,96.0,97.0,101.0,96.0
2020-02-21,101.0,102.0,95.0,96.0,101.0,96.0
2020-02-22,100.0,102.0,94.0,88.0,104.0,96.0
2020-02-23,100.0,102.0,92.0,93.0,102.0,95.0
2020-02-24,99.0,102.0,93.0,94.0,100.0,96.0
2020-02-25,103.0,102.0,93.0,94.0,98.0,98.0
2020-02-26,100.0,102.0,92.0,94.0,99.0,97.0
2020-02-27,99.0,102.0,92.0,93.0,99.0,96.0
2020-02-28,105.0,102.0,94.0,93.0,99.0,99.0
2020-02-29,106.0,101.0,93.0,86.0,105.0,99.0
2020-03-01,109.0,101.0,92.0,91.0,103.0,99.0
2020-03-02,108.0,102.0,91.0,93.0,98.0,101.0
2020-03-03,105.0,103.0,90.0,92.0,96.0,100.0
2020-03-04,102.0,103.0,89.0,91.0,96.0,99.0
2020-03-05,102.0,103.0,91.0,92.0,96.0,97.0
2020-03-06,102.0,104.0,89.0,91.0,94.0,95.0
2020-03-07,101.0,103.0,87.0,84.0,102.0,94.0
2020-03-08,101.0,102.0,85.0,89.0,101.0,93.0
2020-03-09,101.0,104.0,87.0,92.0,94.0,96.0
2020-03-10,101.0,104.0,87.0,92.0,93.0,97.0
2020-03-11,100.0,104.0,85.0,92.0,93.0,96.0
2020-03-12,99.0,104.0,85.0,91.0,93.0,94.0
2020-03-13,100.0,105.0,83.0,88.0,93.0,92.0
2020-03-14,99.0,103.0,80.0,79.0,103.0,89.0
2020-03-15,99.0,104.0,77.0,78.0,98.0,85.0
2020-03-16,104.0,105.0,82.0,86.0,90.0,92.0
2020-03-17,101.0,106.0,79.0,85.0,88.0,91.0
2020-03-18,97.0,107.0,76.0,84.0,87.0,88.0
2020-03-19,94.0,108.0,74.0,82.0,86.0,84.0
2020-03-20,95.0,109.0,70.0,76.0,85.0,80.0
2020-03-21,96.0,108.0,67.0,65.0,96.0,76.0
2020-03-22,90.0,109.0,59.0,65.0,90.0,64.0
2020-03-23,89.0,111.0,61.0,71.0,80.0,68.0
2020-03-24,92.0,112.0,58.0,68.0,77.0,66.0
2020-03-25,92.0,112.0,58.0,66.0,76.0,65.0
2020-03-26,82.0,115.0,50.0,60.0,74.0,57.0
2020-03-27,81.0,117.0,46.0,56.0,74.0,54.0
2020-03-28,75.0,116.0,43.0,45.0,86.0,49.0
2020-03-29,73.0,116.0,39.0,46.0,79.0,45.0
2020-03-30,81.0,116.0,47.0,58.0,73.0,56.0
2020-03-31,86.0,115.0,47.0,58.0,72.0,58.0
2020-04-01,84.0,116.0,45.0,59.0,70.0,57.0
2020-04-02,82.0,117.0,43.0,56.0,70.0,55.0
2020-04-03,81.0,119.0,40.0,52.0,70.0,52.0
2020-04-04,79.0,117.0,38.0,42.0,81.0,49.0
2020-04-05,77.0,117.0,34.0,43.0,75.0,46.0
2020-04-06,83.0,123.0,33.0,51.0,51.0,53.0
2020-04-07,83.0,117.0,42.0,55.0,68.0,55.0
2020-04-08,79.0,118.0,40.0,55.0,68.0,54.0
2020-04-09,79.0,118.0,40.0,55.0,68.0,53.0
2020-04-10,82.0,120.0,39.0,52.0,68.0,52.0
2020-04-11,79.0,117.0,37.0,43.0,78.0,49.0
2020-04-12,78.0,117.0,34.0,44.0,76.0,46.0
2020-04-13,78.0,120.0,38.0,53.0,65.0,51.0
2020-04-14,83.0,119.0,39.0,55.0,64.0,54.0
2020-04-15,83.0,119.0,40.0,56.0,65.0,54.0
2020-04-16,81.0,119.0,40.0,56.0,67.0,54.0
2020-04-17,81.0,121.0,38.0,52.0,67.0,51.0
2020-04-18,79.0,117.0,39.0,43.0,80.0,49.0
2020-04-19,77.0,116.0,37.0,45.0,78.0,47.0
2020-04-20,84.0,117.0,43.0,56.0,71.0,57.0
2020-04-21,83.0,117.0,42.0,55.0,70.0,56.0
2020-04-22,80.0,117.0,41.0,55.0,70.0,55.0
2020-04-23,79.0,117.0,41.0,55.0,70.0,54.0
2020-04-24,83.0,119.0,40.0,52.0,71.0,54.0
2020-04-25,78.0,117.0,39.0,43.0,81.0,50.0
2020-04-26,81.0,115.0,38.0,46.0,78.0,50.0
2020-04-27,85.0,117.0,43.0,55.0,72.0,58.0
2020-04-28,88.0,115.0,44.0,57.0,71.0,59.0
2020-04-29,85.0,115.0,45.0,57.0,71.0,58.0
2020-04-30,98.0,114.0,53.0,61.0,72.0,56.0
2020-05-01,103.0,123.0,44.0,58.0,46.0,54.0
2020-05-02,95.0,115.0,50.0,50.0,77.0,52.0
2020-05-03,97.0,113.0,50.0,54.0,83.0,54.0
2020-05-04,94.0,119.0,44.0,61.0,56.0,58.0
2020-05-05,102.0,113.0,57.0,65.0,72.0,62.0
2020-05-06,99.0,121.0,46.0,66.0,50.0,62.0
2020-05-07,97.0,114.0,55.0,66.0,75.0,62.0
2020-05-08,99.0,116.0,53.0,63.0,75.0,60.0
2020-05-09,96.0,113.0,53.0,54.0,88.0,59.0
2020-05-10,96.0,112.0,51.0,59.0,86.0,59.0
2020-05-11,93.0,117.0,50.0,61.0,66.0,60.0
2020-05-12,102.0,113.0,58.0,68.0,76.0,66.0
2020-05-13,98.0,113.0,57.0,68.0,76.0,64.0
2020-05-14,97.0,113.0,56.0,67.0,76.0,64.0
2020-05-15,101.0,113.0,55.0,66.0,76.0,64.0
2020-05-16,98.0,112.0,54.0,57.0,88.0,63.0
2020-05-17,100.0,110.0,58.0,61.0,90.0,68.0
2020-05-18,100.0,112.0,60.0,67.0,78.0,71.0
2020-05-19,100.0,112.0,60.0,69.0,77.0,71.0
2020-05-20,101.0,112.0,61.0,71.0,77.0,72.0
2020-05-21,100.0,113.0,61.0,70.0,77.0,72.0
2020-05-22,101.0,114.0,59.0,68.0,78.0,70.0
2020-05-23,98.0,111.0,59.0,58.0,90.0,68.0
2020-05-24,97.0,110.0,58.0,63.0,89.0,68.0
2020-05-25,101.0,112.0,61.0,69.0,77.0,73.0
2020-05-26,99.0,112.0,61.0,69.0,78.0,72.0
2020-05-27,101.0,112.0,63.0,72.0,78.0,74.0
2020-05-28,99.0,112.0,62.0,69.0,79.0,72.0
2020-05-29,105.0,113.0,62.0,69.0,79.0,73.0
2020-05-30,104.0,110.0,66.0,62.0,92.0,75.0
2020-05-31,105.0,108.0,66.0,68.0,93.0,76.0
2020-06-01,107.0,110.0,69.0,74.0,81.0,79.0
2020-06-02,104.0,110.0,68.0,73.0,79.0,78.0
2020-06-03,107.0,118.0,60.0,80.0,49.0,84.0
2020-06-04,102.0,111.0,68.0,74.0,80.0,76.0
2020-06-05,104.0,112.0,63.0,72.0,80.0,77.0
2020-06-06,101.0,109.0,64.0,65.0,93.0,78.0
2020-06-07,103.0,107.0,64.0,73.0,93.0,80.0
2020-06-08,103.0,110.0,66.0,76.0,82.0,81.0
2020-06-09,101.0,110.0,65.0,75.0,80.0,80.0
2020-06-10,103.0,110.0,67.0,78.0,81.0,82.0
2020-06-11,102.0,110.0,65.0,78.0,81.0,82.0
2020-06-12,104.0,111.0,65.0,77.0,80.0,81.0
2020-06-13,103.0,108.0,67.0,70.0,93.0,82.0
2020-06-14,102.0,107.0,64.0,75.0,94.0,82.0
2020-06-15,104.0,109.0,67.0,76.0,81.0,84.0
2020-06-16,102.0,110.0,67.0,76.0,80.0,82.0
2020-06-17,98.0,110.0,67.0,74.0,79.0,81.0
2020-06-18,103.0,109.0,67.0,78.0,80.0,87.0
2020-06-19,103.0,110.0,66.0,77.0,80.0,85.0
2020-06-20,104.0,106.0,69.0,73.0,94.0,88.0
2020-06-21,103.0,106.0,66.0,79.0,94.0,87.0
2020-06-22,102.0,108.0,67.0,78.0,80.0,88.0
2020-06-23,105.0,108.0,69.0,81.0,80.0,89.0
2020-06-24,103.0,108.0,70.0,82.0,81.0,89.0
2020-06-25,104.0,108.0,71.0,81.0,80.0,90.0
