dates,Turkey.Google_GroceryMobility.data,Turkey.Google_ResidentialMobility.data,Turkey.Google_TransitStationsMobility.data,Turkey.Google_ParksMobility.data,Turkey.Google_WorkplacesMobility.data,Turkey.Google_RetailMobility.data
2020-02-15,103.0,101.0,96.0,89.0,107.0,102.0
2020-02-16,106.0,100.0,102.0,114.0,105.0,107.0
2020-02-17,105.0,98.0,105.0,110.0,108.0,106.0
2020-02-18,106.0,98.0,104.0,111.0,108.0,104.0
2020-02-19,103.0,98.0,100.0,106.0,109.0,100.0
2020-02-20,102.0,99.0,100.0,102.0,110.0,99.0
2020-02-21,100.0,100.0,97.0,92.0,107.0,96.0
2020-02-22,101.0,101.0,96.0,90.0,108.0,100.0
2020-02-23,105.0,100.0,103.0,121.0,107.0,107.0
2020-02-24,103.0,99.0,103.0,107.0,109.0,103.0
2020-02-25,106.0,98.0,104.0,112.0,109.0,103.0
2020-02-26,106.0,98.0,103.0,115.0,110.0,101.0
2020-02-27,104.0,99.0,103.0,107.0,111.0,98.0
2020-02-28,103.0,99.0,100.0,106.0,108.0,97.0
2020-02-29,98.0,102.0,90.0,84.0,107.0,94.0
2020-03-01,110.0,100.0,103.0,135.0,107.0,109.0
2020-03-02,107.0,98.0,107.0,118.0,110.0,106.0
2020-03-03,109.0,97.0,106.0,123.0,110.0,107.0
2020-03-04,107.0,98.0,104.0,116.0,111.0,102.0
2020-03-05,108.0,98.0,104.0,110.0,112.0,103.0
2020-03-06,110.0,98.0,104.0,117.0,109.0,106.0
2020-03-07,112.0,98.0,109.0,134.0,110.0,113.0
2020-03-08,115.0,97.0,112.0,168.0,108.0,118.0
2020-03-09,108.0,97.0,108.0,124.0,110.0,108.0
2020-03-10,107.0,98.0,101.0,104.0,110.0,102.0
2020-03-11,121.0,98.0,103.0,115.0,111.0,103.0
2020-03-12,119.0,98.0,106.0,125.0,112.0,106.0
2020-03-13,114.0,100.0,102.0,111.0,106.0,98.0
2020-03-14,110.0,101.0,96.0,110.0,104.0,93.0
2020-03-15,105.0,102.0,84.0,103.0,101.0,85.0
2020-03-16,113.0,105.0,86.0,87.0,88.0,88.0
2020-03-17,114.0,108.0,78.0,81.0,81.0,74.0
2020-03-18,101.0,111.0,67.0,71.0,77.0,63.0
2020-03-19,97.0,113.0,62.0,72.0,75.0,59.0
2020-03-20,94.0,116.0,59.0,73.0,70.0,55.0
2020-03-21,90.0,115.0,54.0,68.0,74.0,48.0
2020-03-22,80.0,113.0,45.0,67.0,65.0,36.0
2020-03-23,87.0,116.0,52.0,68.0,63.0,49.0
2020-03-24,79.0,118.0,46.0,61.0,58.0,43.0
2020-03-25,78.0,119.0,45.0,62.0,57.0,42.0
2020-03-26,80.0,119.0,45.0,68.0,57.0,43.0
2020-03-27,79.0,122.0,43.0,60.0,55.0,41.0
2020-03-28,73.0,120.0,37.0,43.0,60.0,34.0
2020-03-29,61.0,117.0,29.0,42.0,55.0,25.0
2020-03-30,76.0,121.0,42.0,61.0,53.0,43.0
2020-03-31,73.0,121.0,39.0,55.0,51.0,39.0
2020-04-01,75.0,122.0,38.0,53.0,51.0,39.0
2020-04-02,73.0,123.0,36.0,54.0,50.0,38.0
2020-04-03,78.0,125.0,36.0,53.0,50.0,38.0
2020-04-04,70.0,123.0,30.0,40.0,54.0,30.0
2020-04-05,60.0,119.0,24.0,39.0,52.0,24.0
2020-04-06,74.0,123.0,35.0,51.0,49.0,39.0
2020-04-07,75.0,123.0,35.0,51.0,48.0,36.0
2020-04-08,74.0,123.0,35.0,51.0,49.0,35.0
2020-04-09,75.0,123.0,37.0,57.0,50.0,36.0
2020-04-10,85.0,124.0,39.0,59.0,49.0,39.0
2020-04-11,17.0,134.0,10.0,19.0,22.0,8.0
2020-04-12,15.0,125.0,10.0,21.0,30.0,7.0
2020-04-13,109.0,119.0,45.0,68.0,52.0,48.0
2020-04-14,88.0,120.0,41.0,61.0,51.0,42.0
2020-04-15,85.0,122.0,37.0,54.0,51.0,38.0
2020-04-16,97.0,121.0,42.0,65.0,53.0,44.0
2020-04-17,115.0,121.0,43.0,69.0,52.0,47.0
2020-04-18,16.0,131.0,10.0,21.0,24.0,8.0
2020-04-19,16.0,122.0,11.0,24.0,34.0,8.0
2020-04-20,99.0,116.0,47.0,72.0,56.0,48.0
2020-04-21,111.0,117.0,46.0,65.0,55.0,49.0
2020-04-22,123.0,116.0,49.0,69.0,55.0,51.0
2020-04-23,30.0,135.0,13.0,29.0,20.0,13.0
2020-04-24,35.0,139.0,12.0,26.0,22.0,13.0
2020-04-25,18.0,133.0,10.0,21.0,26.0,9.0
2020-04-26,18.0,123.0,12.0,25.0,37.0,9.0
2020-04-27,115.0,117.0,51.0,79.0,57.0,53.0
2020-04-28,99.0,117.0,47.0,71.0,55.0,46.0
2020-04-29,98.0,119.0,47.0,70.0,57.0,44.0
2020-04-30,118.0,116.0,51.0,80.0,58.0,51.0
2020-05-01,35.0,138.0,13.0,28.0,20.0,13.0
2020-05-02,19.0,132.0,11.0,22.0,28.0,9.0
2020-05-03,19.0,123.0,12.0,24.0,39.0,9.0
2020-05-04,110.0,116.0,49.0,73.0,60.0,51.0
2020-05-05,99.0,117.0,49.0,73.0,59.0,48.0
2020-05-06,99.0,117.0,50.0,74.0,60.0,47.0
2020-05-07,100.0,118.0,50.0,76.0,61.0,48.0
2020-05-08,117.0,119.0,50.0,77.0,60.0,51.0
2020-05-09,31.0,128.0,15.0,30.0,36.0,15.0
2020-05-10,35.0,120.0,18.0,45.0,49.0,17.0
2020-05-11,113.0,114.0,58.0,88.0,64.0,59.0
2020-05-12,104.0,115.0,55.0,82.0,63.0,54.0
2020-05-13,109.0,115.0,56.0,100.0,64.0,55.0
2020-05-14,107.0,114.0,56.0,89.0,65.0,54.0
2020-05-15,133.0,114.0,60.0,99.0,64.0,61.0
2020-05-16,40.0,125.0,18.0,39.0,44.0,21.0
2020-05-17,40.0,119.0,19.0,49.0,55.0,20.0
2020-05-18,70.0,127.0,24.0,54.0,36.0,31.0
2020-05-19,63.0,128.0,22.0,52.0,31.0,28.0
2020-05-20,133.0,111.0,67.0,107.0,67.0,66.0
2020-05-21,131.0,112.0,63.0,95.0,66.0,64.0
2020-05-22,157.0,112.0,64.0,99.0,65.0,69.0
2020-05-23,48.0,131.0,17.0,26.0,29.0,14.0
2020-05-24,15.0,122.0,15.0,32.0,38.0,8.0
2020-05-25,14.0,135.0,13.0,29.0,15.0,8.0
2020-05-26,16.0,132.0,14.0,31.0,17.0,9.0
2020-05-27,123.0,109.0,62.0,96.0,71.0,63.0
2020-05-28,112.0,111.0,63.0,96.0,71.0,61.0
2020-05-29,126.0,112.0,65.0,104.0,71.0,64.0
2020-05-30,57.0,122.0,24.0,46.0,55.0,26.0
2020-05-31,43.0,115.0,26.0,59.0,66.0,23.0
2020-06-01,113.0,107.0,77.0,106.0,79.0,75.0
2020-06-02,108.0,107.0,74.0,105.0,78.0,71.0
2020-06-03,114.0,106.0,76.0,124.0,80.0,75.0
2020-06-04,111.0,107.0,78.0,122.0,81.0,73.0
2020-06-05,123.0,106.0,81.0,144.0,80.0,78.0
2020-06-06,101.0,106.0,71.0,109.0,88.0,64.0
2020-06-07,99.0,101.0,74.0,138.0,93.0,62.0
2020-06-08,108.0,105.0,78.0,124.0,82.0,77.0
2020-06-09,106.0,105.0,76.0,123.0,81.0,74.0
2020-06-10,112.0,104.0,79.0,138.0,83.0,78.0
2020-06-11,113.0,105.0,79.0,137.0,83.0,80.0
2020-06-12,113.0,106.0,76.0,129.0,81.0,77.0
2020-06-13,107.0,104.0,74.0,119.0,94.0,72.0
2020-06-14,103.0,100.0,75.0,143.0,98.0,70.0
2020-06-15,112.0,104.0,80.0,131.0,84.0,83.0
2020-06-16,114.0,103.0,81.0,137.0,84.0,82.0
2020-06-17,111.0,104.0,79.0,131.0,84.0,78.0
2020-06-18,110.0,104.0,78.0,133.0,84.0,80.0
2020-06-19,117.0,105.0,78.0,126.0,82.0,79.0
2020-06-20,84.0,110.0,59.0,104.0,75.0,55.0
2020-06-21,103.0,99.0,77.0,149.0,102.0,71.0
2020-06-22,113.0,102.0,84.0,141.0,83.0,87.0
2020-06-23,109.0,103.0,79.0,127.0,82.0,80.0
