dates,UnitedKingdom.Google_GroceryMobility.data,UnitedKingdom.Google_ResidentialMobility.data,UnitedKingdom.Google_TransitStationsMobility.data,UnitedKingdom.Google_ParksMobility.data,UnitedKingdom.Google_WorkplacesMobility.data,UnitedKingdom.Google_RetailMobility.data
2020-02-15,93.0,102.0,88.0,65.0,96.0,88.0
2020-02-16,94.0,101.0,93.0,72.0,97.0,93.0
2020-02-17,101.0,102.0,98.0,124.0,86.0,110.0
2020-02-18,99.0,102.0,97.0,120.0,86.0,107.0
2020-02-19,98.0,103.0,96.0,108.0,86.0,106.0
2020-02-20,98.0,103.0,95.0,104.0,86.0,105.0
2020-02-21,99.0,103.0,97.0,110.0,85.0,105.0
2020-02-22,98.0,101.0,98.0,93.0,98.0,96.0
2020-02-23,98.0,100.0,103.0,95.0,99.0,99.0
2020-02-24,99.0,101.0,98.0,91.0,98.0,97.0
2020-02-25,104.0,100.0,101.0,103.0,101.0,99.0
2020-02-26,100.0,100.0,99.0,106.0,101.0,101.0
2020-02-27,101.0,100.0,100.0,108.0,100.0,102.0
2020-02-28,101.0,101.0,100.0,87.0,99.0,101.0
2020-02-29,101.0,100.0,98.0,86.0,100.0,101.0
2020-03-01,102.0,99.0,105.0,114.0,101.0,107.0
2020-03-02,104.0,100.0,100.0,114.0,101.0,104.0
2020-03-03,103.0,100.0,99.0,111.0,101.0,102.0
2020-03-04,103.0,101.0,98.0,102.0,101.0,102.0
2020-03-05,102.0,101.0,97.0,101.0,100.0,99.0
2020-03-06,106.0,100.0,101.0,122.0,101.0,105.0
2020-03-07,102.0,100.0,99.0,107.0,101.0,100.0
2020-03-08,102.0,99.0,102.0,115.0,101.0,104.0
2020-03-09,104.0,101.0,97.0,104.0,100.0,100.0
2020-03-10,105.0,101.0,96.0,104.0,100.0,98.0
2020-03-11,105.0,101.0,94.0,110.0,100.0,100.0
2020-03-12,111.0,102.0,92.0,105.0,99.0,99.0
2020-03-13,111.0,102.0,91.0,112.0,96.0,98.0
2020-03-14,107.0,102.0,85.0,101.0,98.0,90.0
2020-03-15,107.0,102.0,84.0,99.0,96.0,89.0
2020-03-16,120.0,104.0,84.0,129.0,91.0,97.0
2020-03-17,121.0,107.0,73.0,106.0,84.0,85.0
2020-03-18,122.0,110.0,66.0,97.0,77.0,79.0
2020-03-19,124.0,111.0,63.0,102.0,73.0,79.0
2020-03-20,110.0,113.0,60.0,106.0,71.0,72.0
2020-03-21,101.0,111.0,54.0,102.0,75.0,50.0
2020-03-22,86.0,109.0,54.0,120.0,70.0,44.0
2020-03-23,92.0,117.0,47.0,101.0,55.0,55.0
2020-03-24,76.0,124.0,36.0,86.0,42.0,29.0
2020-03-25,74.0,126.0,32.0,88.0,36.0,27.0
2020-03-26,72.0,127.0,30.0,89.0,34.0,26.0
2020-03-27,71.0,128.0,29.0,74.0,34.0,24.0
2020-03-28,61.0,120.0,26.0,46.0,43.0,17.0
2020-03-29,54.0,115.0,25.0,48.0,45.0,15.0
2020-03-30,68.0,127.0,27.0,67.0,31.0,26.0
2020-03-31,70.0,127.0,28.0,79.0,30.0,26.0
2020-04-01,68.0,128.0,27.0,71.0,31.0,25.0
2020-04-02,68.0,129.0,27.0,76.0,30.0,25.0
2020-04-03,70.0,129.0,28.0,75.0,31.0,24.0
2020-04-04,64.0,119.0,28.0,62.0,43.0,19.0
2020-04-05,59.0,115.0,30.0,71.0,46.0,18.0
2020-04-06,69.0,127.0,28.0,80.0,30.0,27.0
2020-04-07,71.0,127.0,31.0,93.0,30.0,27.0
2020-04-08,73.0,127.0,30.0,86.0,30.0,27.0
2020-04-09,80.0,127.0,30.0,87.0,30.0,29.0
2020-04-10,67.0,132.0,25.0,82.0,20.0,22.0
2020-04-11,68.0,119.0,30.0,63.0,43.0,19.0
2020-04-12,37.0,116.0,29.0,67.0,42.0,11.0
2020-04-13,59.0,131.0,22.0,79.0,17.0,22.0
2020-04-14,74.0,127.0,31.0,90.0,30.0,29.0
2020-04-15,73.0,127.0,31.0,94.0,31.0,28.0
2020-04-16,73.0,128.0,30.0,93.0,31.0,27.0
2020-04-17,70.0,129.0,29.0,67.0,32.0,25.0
2020-04-18,63.0,119.0,29.0,53.0,46.0,19.0
2020-04-19,60.0,114.0,34.0,88.0,51.0,20.0
2020-04-20,70.0,125.0,32.0,98.0,33.0,29.0
2020-04-21,72.0,126.0,33.0,102.0,33.0,28.0
2020-04-22,72.0,127.0,33.0,101.0,34.0,28.0
2020-04-23,73.0,127.0,33.0,106.0,34.0,28.0
2020-04-24,74.0,127.0,34.0,96.0,35.0,27.0
2020-04-25,68.0,118.0,35.0,77.0,49.0,22.0
2020-04-26,63.0,114.0,36.0,90.0,52.0,22.0
2020-04-27,71.0,125.0,34.0,97.0,35.0,31.0
2020-04-28,67.0,125.0,29.0,58.0,34.0,26.0
2020-04-29,70.0,127.0,31.0,69.0,34.0,27.0
2020-04-30,72.0,127.0,31.0,69.0,34.0,26.0
2020-05-01,73.0,127.0,33.0,78.0,36.0,26.0
2020-05-02,70.0,117.0,37.0,82.0,51.0,22.0
2020-05-03,63.0,114.0,36.0,79.0,54.0,21.0
2020-05-04,73.0,124.0,36.0,104.0,36.0,31.0
2020-05-05,75.0,125.0,36.0,104.0,36.0,30.0
2020-05-06,78.0,125.0,38.0,116.0,37.0,31.0
