dates,UnitedStates.Google_GroceryMobility.data,UnitedStates.Google_ResidentialMobility.data,UnitedStates.Google_TransitStationsMobility.data,UnitedStates.Google_ParksMobility.data,UnitedStates.Google_WorkplacesMobility.data,UnitedStates.Google_RetailMobility.data
2020-02-15,102.0,99.0,103.0,115.0,102.0,106.0
2020-02-16,101.0,99.0,102.0,116.0,100.0,107.0
2020-02-17,100.0,105.0,91.0,128.0,76.0,106.0
2020-02-18,99.0,101.0,101.0,106.0,100.0,100.0
2020-02-19,100.0,100.0,101.0,108.0,101.0,102.0
2020-02-20,100.0,101.0,100.0,104.0,100.0,101.0
2020-02-21,98.0,100.0,101.0,104.0,100.0,102.0
2020-02-22,103.0,99.0,105.0,123.0,104.0,107.0
2020-02-23,103.0,99.0,105.0,123.0,102.0,107.0
2020-02-24,101.0,100.0,101.0,109.0,103.0,102.0
2020-02-25,101.0,100.0,102.0,109.0,102.0,104.0
2020-02-26,102.0,99.0,103.0,105.0,102.0,107.0
2020-02-27,103.0,100.0,104.0,112.0,102.0,108.0
2020-02-28,103.0,99.0,105.0,110.0,102.0,108.0
2020-02-29,107.0,98.0,107.0,121.0,104.0,112.0
2020-03-01,109.0,99.0,107.0,118.0,103.0,113.0
2020-03-02,106.0,99.0,102.0,110.0,103.0,107.0
2020-03-03,110.0,99.0,103.0,120.0,102.0,111.0
2020-03-04,106.0,99.0,102.0,117.0,103.0,108.0
2020-03-05,107.0,99.0,102.0,121.0,103.0,108.0
2020-03-06,103.0,99.0,102.0,112.0,102.0,105.0
2020-03-07,108.0,99.0,107.0,129.0,105.0,110.0
2020-03-08,107.0,99.0,105.0,140.0,102.0,110.0
2020-03-09,106.0,100.0,99.0,131.0,100.0,106.0
2020-03-10,107.0,101.0,97.0,118.0,98.0,106.0
2020-03-11,110.0,100.0,98.0,126.0,99.0,108.0
2020-03-12,123.0,101.0,94.0,119.0,97.0,106.0
2020-03-13,126.0,103.0,90.0,104.0,93.0,102.0
2020-03-14,118.0,103.0,90.0,103.0,99.0,94.0
2020-03-15,112.0,103.0,87.0,105.0,93.0,91.0
2020-03-16,121.0,108.0,78.0,99.0,80.0,92.0
2020-03-17,114.0,111.0,74.0,108.0,73.0,82.0
2020-03-18,108.0,113.0,70.0,106.0,69.0,76.0
2020-03-19,107.0,115.0,64.0,102.0,67.0,72.0
2020-03-20,105.0,116.0,63.0,98.0,64.0,68.0
2020-03-21,98.0,112.0,64.0,97.0,76.0,60.0
2020-03-22,87.0,111.0,56.0,88.0,69.0,56.0
2020-03-23,90.0,117.0,53.0,77.0,59.0,62.0
2020-03-24,88.0,119.0,54.0,90.0,55.0,61.0
2020-03-25,85.0,119.0,53.0,93.0,54.0,60.0
2020-03-26,86.0,120.0,52.0,103.0,53.0,60.0
2020-03-27,84.0,121.0,51.0,93.0,54.0,58.0
2020-03-28,81.0,115.0,51.0,75.0,66.0,52.0
2020-03-29,78.0,112.0,49.0,81.0,62.0,53.0
2020-03-30,82.0,119.0,50.0,85.0,52.0,60.0
2020-03-31,84.0,120.0,51.0,84.0,51.0,60.0
2020-04-01,89.0,120.0,52.0,93.0,51.0,63.0
