startDate,policyType,name,location.id
2020-03-16T00:00:00Z,C1, School closing,Austria
2020-03-12T00:00:00Z,C2, Workplace closing,Austria
2020-03-16T00:00:00Z,C3, Cancel public events,Austria
2020-03-16T00:00:00Z,C4, Restrictions on gatherings,Austria
2020-03-13T00:00:00Z,C5, Close public transport,Austria
2020-03-16T00:00:00Z,C6, Stay at home requirements,Austria
2020-05-22T00:00:00Z,C7, Restrictions on internal movement,Austria
2020-10-27T00:00:00Z,E1, Income support,Austria
2020-03-14T00:00:00Z,C1, School closing,Belgium
2020-03-14T00:00:00Z,C2, Workplace closing,Belgium
2020-03-10T00:00:00Z,C3, Cancel public events,Belgium
2020-03-18T00:00:00Z,C4, Restrictions on gatherings,Belgium
2020-03-18T00:00:00Z,C6, Stay at home requirements,Belgium
2020-03-14T00:00:00Z,C7, Restrictions on internal movement,Belgium
2020-10-23T00:00:00Z,E1, Income support,Belgium
2020-03-13T00:00:00Z,C1, School closing,Denmark
2020-03-18T00:00:00Z,C2, Workplace closing,Denmark
2020-03-06T00:00:00Z,C3, Cancel public events,Denmark
2020-03-16T00:00:00Z,C4, Restrictions on gatherings,Denmark
2020-03-10T00:00:00Z,C5, Close public transport,Denmark
2020-03-13T00:00:00Z,C6, Stay at home requirements,Denmark
2020-03-16T00:00:00Z,C1, School closing,Finland
2020-03-16T00:00:00Z,C2, Workplace closing,Finland
2020-03-12T00:00:00Z,C3, Cancel public events,Finland
2020-03-12T00:00:00Z,C4, Restrictions on gatherings,Finland
2020-03-16T00:00:00Z,C6, Stay at home requirements,Finland
2020-03-16T00:00:00Z,C7, Restrictions on internal movement,Finland
2020-03-16T00:00:00Z,E1, Income support,Finland
2020-03-16T00:00:00Z,E2, Debt/contract relief,Austria
2020-03-06T00:00:00Z,E2, Debt/contract relief,Belgium
2020-04-18T00:00:00Z,E2, Debt/contract relief,Denmark
2020-06-05T00:00:00Z,E2, Debt/contract relief,Finland
2020-03-16T00:00:00Z,C1, School closing,France
2020-04-06T00:00:00Z,C2, Workplace closing,France
2020-03-13T00:00:00Z,C3, Cancel public events,France
2020-03-17T00:00:00Z,C4, Restrictions on gatherings,France
2020-03-16T00:00:00Z,C5, Close public transport,France
2020-03-17T00:00:00Z,C6, Stay at home requirements,France
2020-03-17T00:00:00Z,C7, Restrictions on internal movement,France
2020-03-16T00:00:00Z,E1, Income support,France
2020-03-16T00:00:00Z,E2, Debt/contract relief,France
2020-03-18T00:00:00Z,C1, School closing,Germany
2020-03-22T00:00:00Z,C2, Workplace closing,Germany
2020-03-20T00:00:00Z,C3, Cancel public events,Germany
2020-03-22T00:00:00Z,C4, Restrictions on gatherings,Germany
2020-04-22T00:00:00Z,C5, Close public transport,Germany
2020-03-09T00:00:00Z,C6, Stay at home requirements,Germany
2020-03-18T00:00:00Z,C7, Restrictions on internal movement,Germany
2020-03-16T00:00:00Z,E1, Income support,Germany
2020-03-23T00:00:00Z,E2, Debt/contract relief,Germany
2020-03-10T00:00:00Z,C1, School closing,Greece
2020-03-18T00:00:00Z,C2, Workplace closing,Greece
2020-03-18T00:00:00Z,C3, Cancel public events,Greece
2020-03-18T00:00:00Z,C4, Restrictions on gatherings,Greece
2020-03-14T00:00:00Z,C5, Close public transport,Greece
2020-03-23T00:00:00Z,C6, Stay at home requirements,Greece
2020-03-23T00:00:00Z,C7, Restrictions on internal movement,Greece
