startDate,policyType,name,details,id,location.id
2020-03-16T00:00:00Z,C1, School closing,"On March 16, the government closed schools until April for pupils roughly 15 and older secondary schools. Education Minister Heinz Fassmann stated that ""For six-to-14-year-olds, we are not doing a full closure but also not continuing as usual.” “If children can be looked after at home, they should stay at home. If that is not possible they can come to school. Schools’ doors remain open.”  Links: http://web.archive.org/web/20200528140806/https://www.reuters.com/article/us-health-coronavirus-austria/austria-closing-schools-over-coronavirus-as-border-checks-take-effect-idUSKBN20Y2YC  https://archive.vn/zd1PI ",Austria_ed187286adc7d5cb3918eb0339327a66,Austria
2020-03-12T00:00:00Z,C2, Workplace closing,"Austria will close all non-essential stores beginning on Monday, 16/03;https://web.archive.org/web/20200413121525/https://www.welt.de/vermischtes/article206537509/Coronavirus-Quarantaene-in-Oesterreich-fast-alle-Geschaefte-landesweit-geschlossen.html",Austria_002418c94f3bc6fab7e168b8aeb15020,Austria
2020-03-16T00:00:00Z,C3, Cancel public events,Events completely prohibited https://web.archive.org/web/20200401190546/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,Austria_ee8f2ec76110bcc87fc8ac2d30bbc0fc,Austria
2020-03-16T00:00:00Z,C4, Restrictions on gatherings,"Beginning on Monday, gatherings of more than 5 people are banned.; https://web.archive.org/web/20200425112038/https://www.br.de/nachrichten/deutschland-welt/coronavirus-oesterreich-schliesst-restaurants-und-spielplaetze,RtIMtIT",Austria_62425a78167507c352856b378b0de4e2,Austria
2020-03-13T00:00:00Z,C5, Close public transport,"Public transport not closed, but only essential workers are allowed to use it. http://web.archive.org/save/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html",Austria_499c79ba005434c3bc5d0974c8a28fab,Austria
2020-03-16T00:00:00Z,C6, Stay at home requirements,"""Austria banned its nearly 9 million citizens on March 16 from entering public spaces except in certain situations, such as pharmacy, grocery store and ATM trips. All sports fields have been shut, but people are still permitted to go on runs or take walks outside with the people who also live in their apartment or house."" (https://www.dw.com/en/coronavirus-what-are-the-lockdown-measures-across-europe/a-52905137; http://web.archive.org/web/20200528133101/https://time.com/5816129/austria-rollback-lockdown/)    ""By March 16, leaving home was banned by law with limited exceptions, restaurants and shops not delivering daily products were closed, and enforced by administrative and police measures, and a number of communities and regions were declared risk areas and put under quarantine"" (http://web.archive.org/web/20200528135324/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19)",Austria_7d23fd38b71f678b3dce896b31bf3253,Austria
2020-05-22T00:00:00Z,C7, Restrictions on internal movement,"Given the very different contagion situation in different regions of the country, there is reason to recommend not to travel to more dangerous parts of the country, but I could not find anything specific.    https://web.archive.org/web/20200524002308/https://www.herold.at/blog/corona-virus-oesterreich-covid-19-aktuell/",Austria_2eb527ed734e89dffd0abcc04bb3d82a,Austria
2020-10-27T00:00:00Z,E1, Income support,"New, expanded form of short-time work for companies that are economically affected by COVID-19 introduced in spring 2020.   From October 1, 2020, working hours can only be reduced by at least 20 and up to a maximum of 70 percent for the entire calculation period.  https://web.archive.org/web/20201103001533/https://www.bmafj.gv.at/Services/News/Coronavirus/FAQ--Kurzarbeit.html  https://archive.vn/EziNK",Austria_8af6f2d15706b39d0f603578b3cc6c77,Austria
2020-03-14T00:00:00Z,C1, School closing,"Belgium closes all schools, but tertiary institutions (universities & colleges of higher education) are allowed to operate, though the government recommends remote course delivery other alternatives to traditional courses in lecture halls or in confined spaces. While most universities are closed, I code this as 2G due to the government's position (and this is a government response tracker); https://web.archive.org/web/20200430182700/https://www.belgium.be/en/news/2020/coronavirus_phase_2_maintained_transition_federal_phase_and_additional_measures; https://web.archive.org/web/20200403054240/https://www.brusselstimes.com/belgium/100039/coronavirus-mayors-universities-music-venues-beat-federal-government-to-the-punch/ (all francophone universities closed beginning on Monday) ",Belgium_04dadfffe2de57b683c93fc391905150,Belgium
2020-03-14T00:00:00Z,C2, Workplace closing,"Wilmes’ administration closes schools, cafes, restaurants, gyms, cinemas and other places where people gather.; https://web.archive.org/web/20200430182700/https://www.belgium.be/en/news/2020/coronavirus_phase_2_maintained_transition_federal_phase_and_additional_measures; ",Belgium_becc40d406e22b0f61677e95f20e69ae,Belgium
