Date,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Netherlands,Norway,Portugal,Russia,SouthAfrica,Spain,Sweden,Switzerland,Turkey,UnitedKingdom,Australia,China,HongKong_China,India,Indonesia,Japan,Malaysia,NewZealand,Philippines,KoreaSouth,Singapore,Thailand,Brazil,Canada,Mexico,UnitedStates
2020-02-01,,,,,,,,,,,,,,,,,,,,,,39735.53,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,3056.63,3929.27,1176.74,10096.55,5832.51,13045.19,903.47,23460.01,592.36,1011.4,5225.04,1521.16,55828.49,9404.7,688.72,10664.95,1192.43,7326.31,6923.3,2746.61,26356.98,39872.31,5884.17,22971.94,1521.95,11550.16,7137.03,2118.88,3116.31,1496.06,114629.21,17379.76,,28399.81
2020-02-04,3083.67,4039.92,1191.86,10246.81,5935.05,13281.74,916.75,23844.85,605.4,1014.86,5264.14,1547.19,56817.03,9562.9,703.46,10800.64,1221.36,7439.82,6948.7,2783.29,26675.98,40789.38,5922.34,23084.59,1535.8,11511.49,7226.9,2157.9,3156.57,1519.38,115556.71,17512.73,45047.07,28807.63
2020-02-05,3124.47,4103.04,1227.44,10404.82,5985.4,13478.33,920.99,24236.63,613.41,1030.95,5302.88,1560.48,57426.2,9717.8,712.27,10994.15,1223.21,7482.48,6976.1,2818.09,26786.74,41142.66,5978.51,23319.56,1536.79,11604.08,7352.85,2165.63,3200.13,1534.14,116028.27,17651.59,44782.86,29290.85
2020-02-06,3142.59,4140.23,1238.96,10521.85,6038.18,13574.82,921.45,24490.35,618.75,1032.96,5287.35,1539.42,57531.49,9811.3,711.14,11012.36,1222.84,7504.79,7049.2,2866.51,27493.7,41306.03,5987.15,23873.59,1552.77,,7506.51,2227.94,3231.55,1535.79,115189.97,17757.49,44493.15,29379.77
2020-02-07,3146.91,4095.2,1232.47,10620.35,6029.75,13513.81,910.91,24478.32,616.46,1013.67,5289.93,1518.23,57276.49,9811.0,708.6,11001.53,1210.15,7466.7,7022.6,2875.96,27404.27,41141.85,5999.61,23827.98,1554.49,11760.88,7507.2,2211.95,3181.48,1535.24,113770.29,17655.49,44399.33,29102.51
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,3119.1,4101.8,1227.63,10608.73,6015.67,13494.03,902.98,24507.7,617.1,1002.31,5282.06,1503.95,56847.74,9816.0,711.51,11039.78,1183.42,7446.88,7012.5,2890.49,27241.34,40979.62,5952.08,23685.98,1542.8,11702.59,7430.86,2201.07,3163.15,,112570.3,17740.57,44290.53,29276.82
